year_month,season,n_detections,n_events,n_audio_files,n_species_naive,mean_score,median_score
2021-12,Winter,355,347,228,39,0.6905598352957747,0.6615922
2022-01,Winter,1306,1268,864,69,0.6837371893491577,0.6540553
2022-02,Winter,973,956,601,65,0.653551685909558,0.6223247
2022-08,Summer,291,286,202,43,0.6898147839862543,0.63646954
2022-09,Autumn,4634,4550,2402,105,0.7150917672119119,0.70283243
2022-10,Autumn,4374,4302,2401,102,0.7102121835848194,0.695438655
2022-11,Autumn,3401,3324,2020,80,0.7151568570538077,0.705337
2022-12,Winter,1338,1301,822,66,0.7054231812107623,0.68815505
2023-01,Winter,1449,1414,949,66,0.7171449646514838,0.69855374
2023-02,Winter,3990,3897,2102,92,0.7162625561629072,0.7051026
2023-03,Spring,6760,6628,3136,111,0.7316438320162721,0.724963075
2023-04,Spring,6639,6514,3100,130,0.6843580658276849,0.6587776
2023-05,Spring,8285,8128,4017,131,0.7138834635027157,0.68793005
2023-06,Summer,7598,7428,3850,122,0.6460692093577257,0.60832551
2023-07,Summer,2092,2051,1416,94,0.643631323126195,0.6073874
2023-08,Summer,230,217,156,33,0.6414663628695653,0.6119176749999999
2023-10,Autumn,641,623,501,56,0.6758573727457098,0.6409427
2023-11,Autumn,475,457,379,57,0.6598959312421052,0.62415564
2023-12,Winter,270,255,187,42,0.6664912855925926,0.637208615
2024-01,Winter,378,373,279,42,0.6606465705026455,0.630946815
2024-02,Winter,1706,1674,1158,82,0.6688511820222743,0.62766985
2024-03,Spring,4747,4701,2582,107,0.6785934331325048,0.64344895
2024-04,Spring,3323,3291,1715,85,0.6882255774240145,0.6528551
