year_month,season,species,n_detections
2021-12,Winter,Rose-ringed Parakeet,122
2021-12,Winter,Eurasian Jackdaw,70
2021-12,Winter,Eurasian Blue Tit,19
2021-12,Winter,European Robin,17
2021-12,Winter,Rook,15
2021-12,Winter,Western Capercaillie,12
2021-12,Winter,Carrion Crow,10
2021-12,Winter,Eurasian Three-toed Woodpecker,8
2021-12,Winter,Eurasian Jay,7
2021-12,Winter,Eurasian Wren,7
2021-12,Winter,Eurasian Eagle-Owl,6
2021-12,Winter,Red-billed Chough,6
2021-12,Winter,Eurasian Magpie,5
2021-12,Winter,Tawny Owl,5
2021-12,Winter,Eurasian Green Woodpecker,4
2021-12,Winter,Eurasian Wryneck,3
2021-12,Winter,Great Bittern,3
2021-12,Winter,Red Kite,3
2021-12,Winter,Common Buzzard,2
2021-12,Winter,Common Sandpiper,2
2021-12,Winter,European Goldfinch,2
2021-12,Winter,Hooded Crow,2
2021-12,Winter,Mistle Thrush,2
2021-12,Winter,Black Redstart,1
2021-12,Winter,Bohemian Waxwing,1
2021-12,Winter,Coal Tit,1
2021-12,Winter,Common Firecrest,1
2021-12,Winter,Common Snipe,1
2021-12,Winter,Crested Tit,1
2021-12,Winter,Eurasian Hobby,1
2021-12,Winter,Goldcrest,1
2021-12,Winter,Green Sandpiper,1
2021-12,Winter,Hawfinch,1
2021-12,Winter,Little Owl,1
2021-12,Winter,Long-tailed Tit,1
2021-12,Winter,Redwing,1
2021-12,Winter,Ural Owl,1
2021-12,Winter,Whooper Swan,1
2022-01,Winter,Rose-ringed Parakeet,482
2022-01,Winter,Eurasian Jackdaw,184
2022-01,Winter,Eurasian Blue Tit,149
2022-01,Winter,Rook,45
2022-01,Winter,Carrion Crow,42
2022-01,Winter,Tawny Owl,42
2022-01,Winter,European Robin,34
2022-01,Winter,Eurasian Green Woodpecker,31
2022-01,Winter,Great Tit,25
2022-01,Winter,Long-tailed Tit,23
2022-01,Winter,Wood Lark,22
2022-01,Winter,Eurasian Eagle-Owl,14
2022-01,Winter,Eurasian Wryneck,13
2022-01,Winter,Hooded Crow,11
2022-01,Winter,Common Sandpiper,10
2022-01,Winter,Eurasian Wren,10
2022-01,Winter,Atlantic Puffin,8
2022-01,Winter,Boreal Owl,7
2022-01,Winter,Great Bittern,7
2022-01,Winter,Little Owl,7
2022-01,Winter,Common Firecrest,6
2022-01,Winter,Eurasian Three-toed Woodpecker,6
2022-01,Winter,Great Spotted Woodpecker,6
2022-01,Winter,Eurasian Jay,5
2022-01,Winter,Gray Wagtail,5
2022-01,Winter,Ring-necked Pheasant,5
2022-01,Winter,Common Buzzard,4
2022-01,Winter,Eurasian Magpie,4
2022-01,Winter,European Greenfinch,4
2022-01,Winter,Long-eared Owl,4
2022-01,Winter,Red-billed Chough,4
2022-01,Winter,Redwing,4
2022-01,Winter,Black Redstart,3
2022-01,Winter,Common Murre,3
2022-01,Winter,Manx Shearwater,3
2022-01,Winter,Bearded Reedling,2
2022-01,Winter,Common Cuckoo,2
2022-01,Winter,European Goldfinch,2
2022-01,Winter,Goldcrest,2
2022-01,Winter,Gray Partridge,2
2022-01,Winter,Mistle Thrush,2
2022-01,Winter,Whooper Swan,2
2022-01,Winter,Aquatic Warbler,1
2022-01,Winter,Bohemian Waxwing,1
2022-01,Winter,Canada Goose,1
2022-01,Winter,Coal Tit,1
2022-01,Winter,Common Greenshank,1
2022-01,Winter,Common Quail,1
2022-01,Winter,Crested Tit,1
2022-01,Winter,Dunnock,1
2022-01,Winter,Eurasian Hobby,1
2022-01,Winter,Eurasian Pygmy-Owl,1
2022-01,Winter,Great Crested Grebe,1
2022-01,Winter,Hawfinch,1
2022-01,Winter,Herring Gull,1
2022-01,Winter,Iberian Chiffchaff,1
2022-01,Winter,Lesser Spotted Woodpecker,1
2022-01,Winter,Northern Lapwing,1
2022-01,Winter,Ortolan Bunting,1
2022-01,Winter,Rock Sparrow,1
2022-01,Winter,Short-toed Treecreeper,1
2022-01,Winter,Stock Dove,1
2022-01,Winter,Ural Owl,1
2022-01,Winter,Yellow-legged Gull,1
2022-02,Winter,Rose-ringed Parakeet,227
2022-02,Winter,Eurasian Blue Tit,153
2022-02,Winter,Eurasian Jackdaw,130
2022-02,Winter,Great Tit,62
2022-02,Winter,Eurasian Bullfinch,39
2022-02,Winter,Eurasian Green Woodpecker,33
2022-02,Winter,Wood Lark,28
2022-02,Winter,Eurasian Nuthatch,27
2022-02,Winter,Rook,26
2022-02,Winter,European Robin,20
2022-02,Winter,Tawny Owl,18
2022-02,Winter,Carrion Crow,12
2022-02,Winter,Great Bittern,12
2022-02,Winter,Yellow-browed Warbler,12
2022-02,Winter,Eurasian Eagle-Owl,10
2022-02,Winter,Common Buzzard,9
2022-02,Winter,Coal Tit,8
2022-02,Winter,Mistle Thrush,7
2022-02,Winter,Red-billed Chough,7
2022-02,Winter,Song Thrush,7
2022-02,Winter,Common Sandpiper,6
2022-02,Winter,Eurasian Wren,6
2022-02,Winter,Great Spotted Woodpecker,6
2022-02,Winter,Short-toed Treecreeper,6
2022-02,Winter,Common Firecrest,5
2022-02,Winter,Gray Wagtail,5
2022-02,Winter,Willow Tit,5
2022-02,Winter,Long-eared Owl,4
2022-02,Winter,Long-tailed Tit,4
2022-02,Winter,Ortolan Bunting,4
2022-02,Winter,Eurasian Jay,3
2022-02,Winter,Eurasian Magpie,3
2022-02,Winter,Eurasian Wryneck,3
2022-02,Winter,Little Owl,3
2022-02,Winter,Pied Avocet,3
2022-02,Winter,Atlantic Puffin,2
2022-02,Winter,Black Woodpecker,2
2022-02,Winter,Boreal Owl,2
2022-02,Winter,Canada Goose,2
2022-02,Winter,Eurasian Dotterel,2
2022-02,Winter,Eurasian Golden Oriole,2
2022-02,Winter,Eurasian Kestrel,2
2022-02,Winter,Eurasian Penduline-Tit,2
2022-02,Winter,Eurasian Three-toed Woodpecker,2
2022-02,Winter,Hooded Crow,2
2022-02,Winter,Northern Lapwing,2
2022-02,Winter,Redwing,2
2022-02,Winter,Ring Ouzel,2
2022-02,Winter,Cirl Bunting,1
2022-02,Winter,Eurasian Curlew,1
2022-02,Winter,Eurasian Oystercatcher,1
2022-02,Winter,Eurasian Treecreeper,1
2022-02,Winter,European Goldfinch,1
2022-02,Winter,European Greenfinch,1
2022-02,Winter,Goldcrest,1
2022-02,Winter,Gray-headed Woodpecker,1
2022-02,Winter,Green-winged Teal,1
2022-02,Winter,Herring Gull,1
2022-02,Winter,Lesser Spotted Woodpecker,1
2022-02,Winter,Little Ringed Plover,1
2022-02,Winter,Manx Shearwater,1
2022-02,Winter,Northern Goshawk,1
2022-02,Winter,Ruddy Shelduck,1
2022-02,Winter,Twite,1
2022-02,Winter,Yellowhammer,1
