year_month,season,species,n_detections,threshold
2021-12,Winter,Black Redstart,1,0.5
2021-12,Winter,Carrion Crow,7,0.5
2021-12,Winter,Common Buzzard,2,0.5
2021-12,Winter,Common Firecrest,1,0.5
2021-12,Winter,Common Sandpiper,2,0.5
2021-12,Winter,Crested Tit,1,0.5
2021-12,Winter,Eurasian Blue Tit,14,0.5
2021-12,Winter,Eurasian Eagle-Owl,5,0.5
2021-12,Winter,Eurasian Green Woodpecker,4,0.5
2021-12,Winter,Eurasian Hobby,1,0.5
2021-12,Winter,Eurasian Jackdaw,61,0.5
2021-12,Winter,Eurasian Jay,7,0.5
2021-12,Winter,Eurasian Magpie,5,0.5
2021-12,Winter,Eurasian Three-toed Woodpecker,5,0.5
2021-12,Winter,Eurasian Wren,6,0.5
2021-12,Winter,Eurasian Wryneck,3,0.5
2021-12,Winter,European Goldfinch,2,0.5
2021-12,Winter,European Robin,13,0.5
2021-12,Winter,Goldcrest,1,0.5
2021-12,Winter,Great Bittern,3,0.5
2021-12,Winter,Hawfinch,1,0.5
2021-12,Winter,Hooded Crow,4,0.5
2021-12,Winter,Long-eared Owl,1,0.5
2021-12,Winter,Long-tailed Tit,1,0.5
2021-12,Winter,Mistle Thrush,2,0.5
2021-12,Winter,Red Kite,2,0.5
2021-12,Winter,Red-billed Chough,5,0.5
2021-12,Winter,Rook,8,0.5
2021-12,Winter,Rose-ringed Parakeet,107,0.5
2021-12,Winter,Tawny Owl,5,0.5
2021-12,Winter,Ural Owl,1,0.5
2021-12,Winter,Western Capercaillie,8,0.5
2021-12,Winter,Whooper Swan,1,0.5
2022-01,Winter,Aquatic Warbler,1,0.5
2022-01,Winter,Atlantic Puffin,7,0.5
2022-01,Winter,Bearded Reedling,2,0.5
2022-01,Winter,Black Redstart,2,0.5
2022-01,Winter,Boreal Owl,8,0.5
2022-01,Winter,Canada Goose,1,0.5
2022-01,Winter,Carrion Crow,38,0.5
2022-01,Winter,Coal Tit,1,0.5
2022-01,Winter,Common Buzzard,3,0.5
2022-01,Winter,Common Cuckoo,1,0.5
2022-01,Winter,Common Firecrest,6,0.5
2022-01,Winter,Common Greenshank,1,0.5
