step,name,script,log_file,started,completed,elapsed_seconds,status,error
1,Clean raw BirdNET export,scripts/01_data_preparation/01_clean_birdnet_data.R,/home/jasper/CMEECourseWork/final_project/log/run_20260819_045354/step_01_clean_raw_birdnet_export.log,2026-08-19 04:53:54.573165,2026-08-19 04:54:10.201209,15.628044128417969,completed,
12,Prepare frozen final validation data,scripts/02_manual_validation/12_prepare_final_validation_data.R,/home/jasper/CMEECourseWork/final_project/log/run_20260819_045354/step_12_prepare_frozen_final_validation_data.log,2026-08-19 04:54:10.204342,2026-08-19 04:54:14.26006,4.055718183517456,completed,
13,Fit calibration models,scripts/03_calibration/13_fit_final_calibration_models.R,/home/jasper/CMEECourseWork/final_project/log/run_20260819_045354/step_13_fit_calibration_models.log,2026-08-19 04:54:14.262347,2026-08-19 04:54:22.115327,7.852979898452759,completed,
14,Run event-grouped cross-validation,scripts/03_calibration/14_event_grouped_cross_validation.R,/home/jasper/CMEECourseWork/final_project/log/run_20260819_045354/step_14_run_event_grouped_cross_validation.log,2026-08-19 04:54:22.118561,2026-08-19 04:54:43.585352,21.466790914535522,completed,
16,Assign calibrated probabilities,scripts/03_calibration/16_apply_calibration_to_full_data.R,/home/jasper/CMEECourseWork/final_project/log/run_20260819_045354/step_16_assign_calibrated_probabilities.log,2026-08-19 04:54:43.588785,2026-08-19 04:54:52.381104,8.792319059371948,completed,
17,Run full Monte Carlo propagation,scripts/04_uncertainty_propagation/17_monte_carlo_diversity_simulation_corrected.R,/home/jasper/CMEECourseWork/final_project/log/run_20260819_045354/step_17_run_full_monte_carlo_propagation.log,2026-08-19 04:54:52.384271,2026-08-19 04:59:36.466041,284.0817701816559,completed,
18,Compare identification workflows,scripts/05_method_comparison/18_compare_diversity_methods_final.R,/home/jasper/CMEECourseWork/final_project/log/run_20260819_045354/step_18_compare_identification_workflows.log,2026-08-19 04:59:36.469418,2026-08-19 04:59:50.611024,14.141605854034424,completed,
19,Calculate sampling-coverage proxies,scripts/06_sampling_coverage/19_sampling_effort_proxy_sensitivity_fixed5min.R,/home/jasper/CMEECourseWork/final_project/log/run_20260819_045354/step_19_calculate_sampling_coverage_proxies.log,2026-08-19 04:59:50.614485,2026-08-19 05:00:05.951846,15.337360858917236,completed,
20,Run higher-coverage robustness analysis,scripts/06_sampling_coverage/20_low_coverage_month_sensitivity.R,/home/jasper/CMEECourseWork/final_project/log/run_20260819_045354/step_20_run_higher_coverage_robustness_analysis.log,2026-08-19 05:00:05.955609,2026-08-19 05:00:25.328931,19.373322010040283,completed,
21,Build analytical benchmark,scripts/07_analytical_benchmark/21_analytical_vs_monte_carlo.R,/home/jasper/CMEECourseWork/final_project/log/run_20260819_045354/step_21_build_analytical_benchmark.log,2026-08-19 05:00:25.332314,2026-08-19 05:01:56.846883,91.51456904411316,completed,
22,Rebuild manuscript Figure 2,scripts/08_reporting/22_rebuild_manuscript_figure2.R,/home/jasper/CMEECourseWork/final_project/log/run_20260819_045354/step_22_rebuild_manuscript_figure_2.log,2026-08-19 05:01:56.850544,2026-08-19 05:02:00.382186,3.531641960144043,completed,
23,Rebuild manuscript Figure 3,scripts/08_reporting/23_rebuild_manuscript_figure3.R,/home/jasper/CMEECourseWork/final_project/log/run_20260819_045354/step_23_rebuild_manuscript_figure_3.log,2026-08-19 05:02:00.385479,2026-08-19 05:02:02.933812,2.548332929611206,completed,
24,Rebuild manuscript Figure 4,scripts/08_reporting/24_rebuild_manuscript_figure4.R,/home/jasper/CMEECourseWork/final_project/log/run_20260819_045354/step_24_rebuild_manuscript_figure_4.log,2026-08-19 05:02:02.937082,2026-08-19 05:02:04.668685,1.7316029071807861,completed,
25,Rebuild manuscript Figure 5,scripts/08_reporting/25_rebuild_manuscript_figure5.R,/home/jasper/CMEECourseWork/final_project/log/run_20260819_045354/step_25_rebuild_manuscript_figure_5.log,2026-08-19 05:02:04.672003,2026-08-19 05:02:06.418546,1.7465429306030273,completed,
26,Rebuild supplementary figures and tables,scripts/08_reporting/26_rebuild_supplementary_outputs.R,/home/jasper/CMEECourseWork/final_project/log/run_20260819_045354/step_26_rebuild_supplementary_figures_and_tables.log,2026-08-19 05:02:06.421753,2026-08-19 05:02:16.127162,9.705409049987793,completed,
27,Collect final thesis outputs,scripts/08_reporting/27_collect_final_outputs.R,/home/jasper/CMEECourseWork/final_project/log/run_20260819_045354/step_27_collect_final_thesis_outputs.log,2026-08-19 05:02:16.131135,2026-08-19 05:02:16.953349,0.8222141265869141,completed,
