species,n_detections,mean_score,median_score,min_score,max_score
Rose-ringed Parakeet,12718,0.76347159949599,0.78276877,0.4500514,0.9998671
Eurasian Jackdaw,10811,0.7429725975709925,0.75027883,0.45007607,0.99887854
Eurasian Wren,9435,0.6493281244621092,0.61746573,0.450053,0.99895847
Eurasian Blue Tit,4529,0.623098847189225,0.59199095,0.45007947,0.9921159
Ring-necked Pheasant,4271,0.8677613110793725,0.94355565,0.45010868,0.99997556
European Robin,2685,0.6518868306331471,0.6201826,0.4500332,0.9972589
Eurasian Green Woodpecker,1685,0.7255667177744807,0.72277814,0.45025766,0.99818134
Tawny Owl,1505,0.7035269571627907,0.6860503,0.45002905,0.99963486
Eurasian Wryneck,1426,0.6355896567110799,0.606887365,0.45017582,0.9908071
Red-billed Chough,1239,0.6200216240516545,0.58982366,0.45040512,0.9893111
Dunnock,1045,0.6835422459808612,0.65672755,0.45061833,0.997757
Great Bittern,844,0.6426966704383886,0.6230406850000001,0.450024,0.975183
Long-tailed Tit,615,0.6599891941951219,0.6405944,0.45105118,0.9816051
Mistle Thrush,580,0.6256544357068966,0.5858577650000001,0.45026562,0.99215454
Eurasian Treecreeper,567,0.5902283946031746,0.5514346,0.45017785,0.9614026
Common Buzzard,563,0.6795543195737123,0.649445,0.45069855,0.99856645
Carrion Crow,553,0.5731808960578662,0.5527805,0.4500144,0.8881405
Little Owl,509,0.5826320107072691,0.5545706,0.4501198,0.95494276
Eurasian Magpie,486,0.6597113547736626,0.61153892,0.45001635,0.9988832
Great Tit,478,0.5857431427196653,0.56118955,0.45004034,0.9704169
Eurasian Blackbird,465,0.5788403797849463,0.5465442,0.45005637,0.9316248
Great Spotted Woodpecker,465,0.6585981661935484,0.632895,0.45150563,0.98703396
Eurasian Jay,428,0.6892883478271028,0.68329855,0.45014495,0.99571145
Wood Lark,424,0.5743791156603774,0.549168965,0.4506501,0.95230263
Coal Tit,412,0.6137665602184466,0.57833305,0.4502963,0.9971655
Rook,394,0.5981972452284264,0.569510935,0.45037633,0.9570668
Eurasian Eagle-Owl,335,0.6110857105970149,0.5874742,0.4506251,0.9298404
Eurasian Blackcap,323,0.5802503447987616,0.54935557,0.45033887,0.9652659
Common Firecrest,269,0.549629515724907,0.52404106,0.45032775,0.8724596
Eurasian Nuthatch,218,0.6346861498623854,0.599825515,0.45202345,0.946023
Hooded Crow,212,0.5774665185849056,0.551138015,0.450265,0.87010336
Common Sandpiper,195,0.6173427296410257,0.5753833,0.45004436,0.986912
Boreal Owl,191,0.6257408806282723,0.60091823,0.45026925,0.9799785
Red Kite,168,0.7004654526785714,0.6667024,0.45795286,0.9972038
Black Woodpecker,155,0.5599899529677419,0.53722316,0.45086566,0.82072055
Long-eared Owl,155,0.5676659035483871,0.53630936,0.4504156,0.9148451
Gray Wagtail,144,0.5706080364583334,0.538530645,0.4510862,0.87991834
Western Capercaillie,144,0.5824093251388889,0.56090787,0.45044765,0.95934594
Eurasian Bullfinch,132,0.6086706828030303,0.5728974,0.45134142,0.9479493
Gray-headed Woodpecker,124,0.5884823752419355,0.549898,0.45010838,0.903351
Common Grasshopper-Warbler,121,0.588617597768595,0.5575008,0.45043856,0.90176046
Common Chiffchaff,118,0.6742617568644068,0.673129475,0.45056427,0.9544896
Eurasian Three-toed Woodpecker,99,0.5777589107070707,0.55548304,0.45258966,0.943582
European Goldfinch,91,0.6065874071428572,0.579136,0.4530639,0.9704804
Graylag Goose,91,0.6557192713186814,0.65001196000000006,0.45196107,0.9957075
Atlantic Puffin,87,0.5888422544827586,0.56654066,0.45007792,0.8732408
Eurasian Curlew,86,0.5718359289534883,0.55522545,0.45177478,0.862961
Goldcrest,82,0.5455119369512195,0.501640785,0.45169535,0.9119652
Hawfinch,81,0.5824695422222222,0.5423726,0.45008034,0.9795949
Egyptian Goose,72,0.7312181870833333,0.71982362,0.45726347,0.99771225
Manx Shearwater,72,0.5633012056944444,0.532967505,0.45265758,0.847451
Common Crane,68,0.5767369611764706,0.56610715,0.45259833,0.88361746
Eurasian Scops-Owl,68,0.5915724061764706,0.56876857,0.45011118,0.9199725
European Greenfinch,68,0.6201735325,0.5801081299999999,0.45037928,0.97255313
Marsh Tit,64,0.55107853703125,0.52234432,0.45413542,0.8652908
Common Wood-Pigeon,62,0.5687710851612903,0.54702057,0.45303765,0.8176532
European Serin,62,0.5928243772580645,0.5621953,0.45026103,0.94396657
Canada Goose,61,0.6360965801639344,0.5781292,0.4546372,0.93650657
Ural Owl,61,0.5707346478688524,0.55105656,0.45192435,0.9258146
Common Raven,57,0.56885856,0.5381325,0.45222902,0.91191566
Eurasian Hobby,55,0.5538495709090909,0.5223435,0.45139512,0.7974123
Cirl Bunting,54,0.5976647292592593,0.5776860100000001,0.45272556,0.8699799
Northern Lapwing,48,0.5994992245833334,0.58381253,0.45218953,0.84653115
Common Kingfisher,46,0.5760186508695652,0.53868497,0.45999718,0.85599107
Short-toed Treecreeper,44,0.5821219377272727,0.5377851,0.45034206,0.88234913
Redwing,43,0.6159791853488372,0.60148185,0.45846373,0.9211701
European Honey-buzzard,40,0.5859866225,0.5572108,0.4516032,0.89044964
Barn Swallow,38,0.6250568576315789,0.5831772,0.45170197,0.95483744
Eurasian Golden Oriole,38,0.6123987889473684,0.6051908500000001,0.46232408,0.9003473
Northern Goshawk,38,0.5639965523684211,0.540566425,0.4523908,0.76860744
Black-legged Kittiwake,37,0.55196563,0.51810837,0.45755804,0.876774
Gray Partridge,37,0.5260494964864865,0.51105815,0.45436275,0.7568923
Lesser Spotted Woodpecker,34,0.5683668811764706,0.5351406000000001,0.45649734,0.78870225
Whooper Swan,34,0.5670298223529412,0.522125225,0.45030275,0.81298053
Eurasian Siskin,33,0.6022749509090909,0.59273434,0.4532118,0.79839325
Iberian Chiffchaff,32,0.5175466871875,0.50470382,0.45208374,0.624374
Bearded Reedling,27,0.6151505188888888,0.63349634,0.46067744,0.9230265
Crested Tit,27,0.53116759,0.49389553,0.45450965,0.70140475
Willow Tit,26,0.5960415234615385,0.566117225,0.45107445,0.90894824
Eurasian Kestrel,25,0.8124229508,0.9460226,0.4731443,0.99266714
Willow Warbler,25,0.584856024,0.54647166,0.4500613,0.87423605
Black Redstart,22,0.5902412104545455,0.57795706,0.45145845,0.7606214
Eurasian Collared-Dove,22,0.5446065472727273,0.5130174999999999,0.45717236,0.7600015
Rock Pigeon,22,0.5624630431818182,0.5293177,0.4555873,0.744351
Spotted Flycatcher,22,0.5779526700000001,0.5403300849999999,0.46438643,0.88392234
Yellow-browed Warbler,22,0.6193246763636363,0.60971407,0.48825717,0.87047243
Ring Ouzel,21,0.5455917333333333,0.5192108,0.46843168,0.84863913
Wood Warbler,21,0.5793886557142857,0.5590581,0.4525726,0.8553934
Common Murre,20,0.511003491,0.49494798,0.45527294,0.6621253
Eurasian Moorhen,20,0.556099567,0.5240324000000001,0.4503937,0.95958287
Herring Gull,20,0.611639325,0.57639119,0.4571218,0.8063444
Song Thrush,20,0.5958872445,0.5765668799999999,0.450677,0.92081106
Eurasian Woodcock,19,0.7743136421052632,0.75398576,0.45838466,0.9957125
Black Kite,18,0.5900485461111111,0.56699977,0.4602751,0.74258107
Bohemian Waxwing,18,0.5780441633333333,0.5677649499999999,0.4585801,0.7726548
Gray Heron,18,0.5778477788888889,0.561074235,0.4508666,0.7860268
Common Snipe,17,0.5693309829411765,0.5252944,0.4663205,0.83264166
Green Sandpiper,17,0.6063389658823529,0.56793946,0.4606293,0.9021706
Common Greenshank,16,0.5273837125,0.543283965,0.4525593,0.6098879
European Storm-Petrel,16,0.56201978625,0.5588843,0.47388804,0.7229519
Ortolan Bunting,16,0.555489845625,0.5099865299999999,0.45669264,0.7375522
Rock Bunting,16,0.60098372,0.55580158,0.45112985,0.86531985
Collared Flycatcher,15,0.5825509666666667,0.5690306,0.45364228,0.79407984
Siberian Accentor,15,0.6602550533333333,0.69589674,0.49737275,0.8371738
European Golden-Plover,14,0.5771332842857143,0.56039465,0.46683273,0.7442728
European Turtle-Dove,14,0.63486725,0.5725484,0.50113934,0.9621485
Lesser Whitethroat,14,0.5818175242857143,0.56163895,0.46192268,0.8295314
Mandarin Duck,14,0.661854675,0.68459722,0.45110583,0.94385535
Red-throated Loon,14,0.54958503,0.48404306,0.4540036,0.77130604
Stock Dove,14,0.6108418657142857,0.57086528,0.4535576,0.96726614
European Stonechat,13,0.5799364130769231,0.5892445,0.46253607,0.727531
Black-tailed Godwit,12,0.6032522133333333,0.6195846,0.45285612,0.74300104
Eurasian Pygmy-Owl,12,0.585981725,0.565437405,0.45238864,0.83903164
Little Bittern,12,0.6252927366666666,0.5919353,0.4931586,0.88226736
Middle Spotted Woodpecker,12,0.5700871666666667,0.5507544550000001,0.45215923,0.7370661
Eurasian Penduline-Tit,11,0.5215321763636364,0.5249367,0.46081445,0.5942314
Little Ringed Plover,11,0.5813710654545454,0.53149945,0.46907043,0.7813279
Red-legged Partridge,11,0.62813822,0.531581,0.47751847,0.93370664
Spectacled Warbler,11,0.5215413963636364,0.5180684,0.4580895,0.5969725
Barnacle Goose,10,0.569843854,0.54902008,0.450925,0.77693087
Fieldfare,10,0.58993649,0.5426899700000001,0.4819466,0.8694324
Peregrine Falcon,10,0.694868521,0.665499265,0.454868,0.9912141
Water Rail,10,0.543870494,0.528954505,0.46873704,0.6958819
Razorbill,9,0.6231773288888889,0.61276287,0.47823462,0.7805908
Spotted Crake,9,0.6106519133333334,0.61603785,0.50871366,0.71686107
Corn Bunting,8,0.6158875475,0.574422735,0.50836205,0.89705837
Crested Lark,8,0.56074287,0.527456555,0.45640486,0.73296916
Eurasian Coot,8,0.57677691625,0.52915933,0.45050865,0.84926534
Eurasian Hoopoe,8,0.61189263625,0.58398737,0.48410422,0.76691294
Eurasian Oystercatcher,8,0.53669498,0.500123205,0.45416543,0.6787676
Eurasian Reed Warbler,8,0.50016844625,0.488029335,0.45454568,0.5856449
Greater Whitethroat,8,0.54397321,0.5269323,0.46172923,0.68297505
Red-breasted Flycatcher,8,0.60448869125,0.6063268500000001,0.47582662,0.73134536000000006
Rock Partridge,8,0.5386960737500001,0.52871886,0.47435492,0.67128694
Whinchat,8,0.6342810812499999,0.59896185,0.47291222,0.935205
Yellow-headed Parrot,8,0.596086975,0.55124363,0.4877227,0.7689509
Barn Owl,7,0.6488980042857143,0.60816604,0.4914498,0.84594065
Corsican Finch,7,0.55679137,0.5429141,0.46685046,0.78294885
European Pied Flycatcher,7,0.5354849071428571,0.5426491,0.46656525,0.6310165
Green-winged Teal,7,0.5612557114285714,0.54854435,0.452474,0.6395393
Western Yellow Wagtail,7,0.5406039957142857,0.5067644,0.46994802,0.75177276
Yellow-billed Chough,7,0.5723596314285714,0.5589148,0.46609583,0.79800713
Aquatic Warbler,6,0.6184929016666667,0.57647705,0.47739455,0.7879544
Hazel Grouse,6,0.5792427716666666,0.5588367399999999,0.4639603,0.7190323
Iberian Green Woodpecker,6,0.607197745,0.631832135,0.46662453,0.72640294
Lesser Black-backed Gull,6,0.490912765,0.47869469,0.46535823,0.567498
Sedge Warbler,6,0.5153495583333333,0.5256463499999999,0.4599878,0.5729143
Common Chaffinch,5,0.532069514,0.5076576,0.45656562,0.7051435
