predicted_species,random_intercept,random_intercept_se,random_score_slope,random_score_slope_se,validation_n,validation_events,confirmation_rate,score_min,score_max,model_id
Aquatic Warbler,0.8693853759561764,1.048901777863924,0.22299664920954715,0.8138702412565058,4,4,0.5,0.50625736,0.7879544,M4
Atlantic Puffin,-0.4533554926826701,1.9157311215080541,-0.005995776413088737,0.8617604102302845,1,1,0,0.5230721,0.5230721,M4
Barn Owl,2.953641658305459,1.2687376343660357,0.09087718915011211,0.8398708603494592,4,4,1,0.4914498,0.84594065,M4
Barn Swallow,0.3046585255528572,2.0451227619789822,0.09465366735296263,0.80365872522554,1,1,1,0.8974832,0.8974832,M4
Barnacle Goose,0.820685988326705,1.1017161301577836,0.3626268652622978,0.8017180980624959,4,4,0.5,0.45589954,0.77693087,M4
Bearded Reedling,-0.7790905192864381,1.7776663227411584,-0.06469176173280991,0.8537659683240827,1,1,0,0.6410312,0.6410312,M4
Black Grouse,-1.5056313765508689,1.5533715336592495,-0.18917037584434168,0.8279295552837,3,3,0,0.53402424,0.757036,M4
Black Kite,2.7133805346204554,0.9857454278141969,0.1797455116882779,0.8373144947326446,4,4,0.75,0.4762172,0.6820991,M4
Black Redstart,0.6478562951790512,0.9105893618090941,-0.5254818645193817,0.7910713018516632,6,6,0.3333333333333333,0.47988847,0.7606214,M4
Black Tern,-0.3996675876591181,1.946722892644845,1.9357511612067607e-4,0.8619142285959037,1,1,0,0.49915445,0.49915445,M4
Black Woodpecker,-1.9795127874068081,1.401848070303721,-0.20139432604400204,0.8187547207863703,10,10,0,0.47840142,0.7620054,M4
Black-bellied Plover,-1.0858908379890155,1.6162202185791998,-0.058934018760618455,0.8574720938569855,3,3,0,0.5867141,0.59833974,M4
Black-crowned Night-Heron,-0.7896207494128351,1.7744903020211,-0.06719156103842365,0.8533070349971786,1,1,0,0.6443322,0.6443322,M4
Black-legged Kittiwake,-0.16144695506481505,1.0864687860931395,-0.6738761942383688,0.7677270104101916,6,6,0.16666666666666666,0.4646868,0.8152123,M4
Black-tailed Godwit,-1.4108129362295374,1.5218856780775116,-0.10389315429621987,0.8493074165210707,4,4,0,0.4799847,0.6678322,M4
Bluethroat,-0.7242114811258535,1.7954393669716417,-0.0522853878868756,0.8559549236757977,1,1,0,0.62343526,0.62343526,M4
Bohemian Waxwing,0.11181048089383722,1.1565817576064654,-0.4601420890776857,0.7947234325366171,4,4,0.25,0.4585801,0.7726548,M4
Boreal Owl,0.735182746606119,1.8429987270387451,0.1570815117494497,0.8106797934976476,2,2,1,0.8121141,0.9710118,M4
Canada Goose,-0.38177926671456486,1.957634334480818,0.0020246881395782975,0.8618923047086158,1,1,0,0.49074268,0.49074268,M4
Carrion Crow,3.446972163679268,1.186337727814315,0.0720130010458493,0.8419279953661758,4,4,1,0.4586788,0.7123931,M4
Cetti's Warbler,1.120133609256712,1.7101929944326084,0.16626076974193346,0.8324904280530876,1,1,1,0.738174,0.738174,M4
Cirl Bunting,-0.23770014371306541,1.0736743123291117,-0.5417728197290612,0.7991356669792349,6,6,0.16666666666666666,0.49178466,0.75228566,M4
Coal Tit,3.2513059392877577,0.8308074097081196,-0.38026591175212415,0.8181970116737177,10,10,0.9,0.46879467,0.9090139,M4
Collared Flycatcher,0.5932572870703653,1.0929908461902826,0.3422433104929996,0.8039292481947595,4,4,0.5,0.5139992,0.79407984,M4
Common Buzzard,1.6274343506106819,1.100647480894142,0.3001280014420894,0.8231335307592608,5,5,0.8,0.5486039,0.9182572,M4
Common Chaffinch,3.560372547166197,1.1663233838089326,-0.025361986573207453,0.8503214823308016,4,4,1,0.45656562,0.7051435,M4
Common Chiffchaff,3.295377291732431,0.8362827302176302,0.11036531143249353,0.8253858537842259,10,10,0.9,0.45365593,0.9167599,M4
Common Crane,0.6046660507060153,0.9326133168700562,0.00843611769098601,0.7891654037638611,6,6,0.3333333333333333,0.48729172,0.77849716,M4
Common Cuckoo,0.2678311733691114,1.1193829755079618,0.25777205486636495,0.8314826898240767,4,4,0.25,0.46553132,0.67995936,M4
Common Firecrest,0.09240604326296369,0.8946334507215935,0.18877509512124924,0.7632785800343785,10,10,0.2,0.45792425,0.83949757,M4
Common Grasshopper-Warbler,0.5331811966464758,1.9275252152591225,0.13277328016902565,0.8072126584403465,1,1,1,0.85055256,0.85055256,M4
Common Greenshank,1.9020096433374958,1.5424465019449332,0.09381185626916126,0.8579417156588824,1,1,1,0.5852649,0.5852649,M4
Common House-Martin,0.9710207265398249,1.0694615820029125,0.1948348065140838,0.8114727955791204,4,4,0.5,0.4810982,0.81944394,M4
Common Kingfisher,-0.3052433819070561,2.0075562191105005,-0.0041447811160191545,0.8617906106555245,1,1,0,0.5236875,0.5236875,M4
Common Murre,-1.2131923979786428,1.5736682504853647,-0.06265405231036192,0.8510141028633245,4,4,0,0.4945436,0.6621253,M4
Common Nightingale,1.9012951245899135,1.0818673864728043,0.09880564237721345,0.8409736453852986,3,3,0.6666666666666666,0.48521027,0.65899277,M4
Common Pochard,-0.4660387204745355,1.9087830926604064,-0.00760676791608515,0.8616757214610214,1,1,0,0.5284641,0.5284641,M4
Common Quail,-0.03269181572754706,1.2439990759761148,-0.3381108707521543,0.7995815434850182,3,3,0.3333333333333333,0.6300448,0.79930425,M4
Common Raven,1.648109383958768,0.9202022638293669,0.22760537203530193,0.8050620345272776,6,6,0.6666666666666666,0.4622823,0.91191566,M4
Common Redshank,-0.43248040036568103,1.9274740034602025,-0.003467207545595529,0.8618595123461588,1,1,0,0.5139923,0.5139923,M4
Common Ringed Plover,-0.9526046300414285,1.734530405322741,-0.11097216089938987,0.8445851361508369,1,1,0,0.692852,0.692852,M4
Common Rosefinch,-0.6372049227091013,1.8018036101837547,4.6895490425133537e-4,0.8618692045431031,2,2,0,0.48944336,0.50685096,M4
Common Sandpiper,0.14272965290025896,1.3445676332756744,0.23703423905808743,0.8027763068074966,3,3,0.3333333333333333,0.45286947,0.7836845,M4
Common Scoter,-0.5578555960762058,1.8625254549898036,-0.02091902374479261,0.8605112620106666,1,1,0,0.5650934,0.5650934,M4
Common Snipe,0.7952945455117885,1.0855232071688996,0.24409669486517097,0.8098181702131613,4,4,0.5,0.49299815,0.83264166,M4
