predicted_species,n_candidates,mean_birdnet_score,mean_p_primary,median_p_primary,expected_correct_primary,mean_p_primary_m2,expected_correct_primary_m2,mean_p_audio_only,expected_correct_audio_only,species_validation_n,species_confirmation_rate,expected_difference_m2_minus_m3
Rose-ringed Parakeet,12718,0.76347159949599,0.9782095999458741,0.9925281074468223,12440.869692111626,0.6681002952236753,8496.899554654703,0.9718546687780584,12360.047677519346,38,1,-3943.970137456923
Eurasian Jackdaw,10811,0.7429725975709925,0.9399994710916159,0.9714983613597804,10162.334281971458,0.6367262039724837,6883.646991146521,0.9346934391941704,10104.970771128175,42,0.9523809523809523,-3278.687290824937
Eurasian Wren,9435,0.6493281244621092,0.8378104772452268,0.8505744821484231,7904.741852808715,0.5084621506413659,4797.340391301288,0.829856296349353,7829.694156056145,34,0.9117647058823529,-3107.4014615074266
Eurasian Blue Tit,4529,0.623098847189225,0.8875841763876323,0.8944147049051702,4019.8687348595868,0.47162057311772354,2135.9695756501696,0.8743085791276524,3959.743554869138,32,0.96875,-1883.8991592094171
European Robin,2685,0.6518868306331471,0.8447323259596315,0.8577744270988675,2268.1062952016105,0.512113655615525,1375.0251653276848,0.8379729578443211,2249.9573918120022,32,0.90625,-893.0811298739256
Ring-necked Pheasant,4271,0.8677613110793725,0.9756396965432877,0.9988401186517635,4166.957143936382,0.8168924566379231,3488.9476823005693,0.9727638943467753,4154.674592755077,36,0.9722222222222222,-678.0094616358124
Eurasian Green Woodpecker,1685,0.7255667177744807,0.9503411669143048,0.9734435882105208,1601.3248662506037,0.6122753261527503,1031.683924567384,0.9436201169043523,1589.9998969838337,36,0.9722222222222222,-569.6409416832196
Red-billed Chough,1239,0.6200216240516545,0.007807751227911011,0.0012704323715055576,9.673803771381744,0.4442243730877494,550.3939982557216,0.5132204363127585,635.8801205915078,40,0,540.7201944843399
Great Bittern,844,0.6426966704383886,0.04090245337623853,0.012649081754512959,34.52167064954532,0.49783741048541014,420.17477444968614,0.07723651170235818,65.1876158767903,2,0,385.6531038001408
Carrion Crow,553,0.5731808960578662,0.8493505372270852,0.8498187155597269,469.6908470865781,0.3726221321024979,206.06003905268133,0.8140460763455979,450.16748021911565,4,1,-263.63080803389676
Little Owl,509,0.5826320107072691,0.7820733086937142,0.7703601423611491,398.07531412510053,0.3950104525423662,201.06032034406442,0.741177465325579,377.2593298507198,3,1,-197.0149937810361
Great Tit,478,0.5857431427196653,0.8193999389653439,0.8208120592651824,391.6731708254344,0.4181221937710701,199.8624086225715,0.7752206549003228,370.5554730423543,3,1,-191.8107622028629
Long-tailed Tit,615,0.6599891941951219,0.826343173065924,0.8465560058235513,508.20105143554326,0.5200658705462813,319.84051038596294,0.7983766334865449,491.00162959422505,4,1,-188.36054104958032
Tawny Owl,1505,0.7035269571627907,0.7029988594578357,0.7336414004627861,1058.0132834840426,0.5787318161930273,870.9913833705061,0.7001424069624959,1053.7143224785561,36,0.75,-187.0219001135365
Coal Tit,412,0.6137665602184466,0.851819583204568,0.8524740346239499,350.94966828028197,0.45961067229691716,189.35959698632985,0.8377578591494627,345.1562379695786,10,0.9,-161.59007129395212
Eurasian Blackcap,323,0.5802503447987616,0.9139105866734184,0.9114781615914468,295.19311949551417,0.41448756663075326,133.8794840217333,0.8912678157149906,287.879504475942,10,1,-161.31363547378086
Rook,394,0.5981972452284264,0.8412939506044294,0.8391487829584301,331.4698165381452,0.43453420533840403,171.20647690333118,0.8264992384978325,325.640699968146,10,0.9,-160.26333963481403
Great Spotted Woodpecker,465,0.6585981661935484,0.8283683339624343,0.8441772262394807,385.19127529253194,0.5202245855833945,241.90443229627843,0.801634742044779,372.7601550508223,5,1,-143.2868429962535
Eurasian Treecreeper,567,0.5902283946031746,0.20477835136293868,0.11778902926160342,116.10932522278623,0.4273417233071443,242.30275711515085,0.2761200198489693,156.5600512543656,1,0,126.19343189236463
Eurasian Eagle-Owl,335,0.6110857105970149,0.10667045879978232,0.06254518219655078,35.73460369792708,0.42218106597397964,141.43065710128317,0.15572776464394186,52.16880115572052,4,0,105.6960534033561
Eurasian Blackbird,465,0.5788403797849463,0.6099765508083993,0.5725091738189432,283.63909612590567,0.4102795120853548,190.77997311969,0.5841857485316617,271.6463730672227,1,1,-92.85912300621567
Eurasian Wryneck,1426,0.6355896567110799,0.40638820487723853,0.3199228170193228,579.5095801549422,0.46956569202997334,669.600676834742,0.4044409556466927,576.7328027521837,37,0.5675675675675675,90.09109667979976
Common Buzzard,563,0.6795543195737123,0.698352363208226,0.6959804889048222,393.17238048623125,0.5449666825599472,306.8162422812503,0.6886338017186792,387.7008303676164,5,0.8,-86.35613820498094
Eurasian Magpie,486,0.6597113547736626,0.3606333105425686,0.21968374933778295,175.26778892368833,0.5078017089591196,246.79163055413213,0.3895854351267473,189.3385214715992,4,0.75,71.5238416304438
Wood Lark,424,0.5743791156603774,0.5686962009146367,0.5289686584022746,241.12718918780593,0.4037206674669363,171.177563005981,0.5459313022141941,231.47487213881828,2,1,-69.94962618182493
Dunnock,1045,0.6835422459808612,0.6161939560475262,0.5966274723341585,643.9226840696649,0.5543644016980596,579.3107997744723,0.6199394387614213,647.8367135056853,5,0.8,-64.61188429519257
Mistle Thrush,580,0.6256544357068966,0.3629540240696698,0.2515946451213241,210.5133339604085,0.470861579483208,273.09971610026065,0.3810343008814429,220.99989451123687,4,0.75,62.58638213985216
Western Capercaillie,144,0.5824093251388889,0.03246702811716931,0.011333659492538516,4.67525204887238,0.41828395215848924,60.23288911082245,0.46680200346335526,67.21948849872315,10,0,55.55763706195007
Eurasian Bullfinch,132,0.6086706828030303,0.8671004890116861,0.8689270173761343,114.45726454954257,0.45479833799709973,60.03338061561716,0.8535503199686846,112.66864223586637,10,0.9,-54.42388393392541
Hooded Crow,212,0.5774665185849056,0.5885020311468778,0.5650242049341747,124.7624306031381,0.3367752320119548,71.39634918653441,0.5669562204384291,120.19471873294695,3,0.6666666666666666,-53.36608141660369
Black Woodpecker,155,0.5599899529677419,0.030538844095882665,0.018826524335448867,4.733520834861813,0.3596114465125776,55.73977420944953,0.41666716152139044,64.58341003581552,10,0,51.006253374587715
Common Firecrest,269,0.549629515724907,0.1984265077896859,0.14848992409756204,53.37673059542551,0.3693216678008656,99.34752863843286,0.2115054236857419,56.894958971464575,10,0.2,45.970798043007356
Gray-headed Woodpecker,124,0.5884823752419355,0.02379903200118209,0.011298800594981636,2.951079968146579,0.3926544240635241,48.689148583876985,0.4605457237783175,57.10766974851137,10,0,45.738068615730405
Common Chiffchaff,118,0.6742617568644068,0.8992316122498127,0.9294135700723662,106.1093302454779,0.5418763852572137,63.94141346035122,0.889828559228291,104.99976998893833,10,0.9,-42.167916785126685
Long-eared Owl,155,0.5676659035483871,0.0684328694677648,0.03816611433494063,10.607094767503545,0.3381009529172148,52.405647702168295,0.10443519339829732,16.187454976736085,1,0,41.79855293466475
Eurasian Three-toed Woodpecker,99,0.5777589107070707,0.018843045499270652,0.008040381802390915,1.8654615044277945,0.40326043669532513,39.92278323283719,0.45601522907966163,45.1455076788865,6,0,38.0573217284094
Manx Shearwater,72,0.5633012056944444,0.05063239182208262,0.030221206903300095,3.645532211189949,0.39027944762729827,28.100120229165473,0.07751594393683862,5.581147963452381,6,0,24.454588017975524
Common Sandpiper,195,0.6173427296410257,0.34076338844941784,0.23487722596872584,66.44886074763649,0.46120177213815683,89.93434556694058,0.36578007439143956,71.32711450633072,3,0.3333333333333333,23.48548481930409
Ural Owl,61,0.5707346478688524,0.027623815343383543,0.010409914508764063,1.685052735946396,0.38640335138027654,23.570604434196866,0.438681980423378,26.759600805826057,6,0,21.88555169825047
European Goldfinch,91,0.6065874071428572,0.6889037352979381,0.6751238667821918,62.69023991211237,0.4484497301116494,40.808925440160095,0.6608819147770433,60.14025424471094,1,1,-21.881314471952273
Atlantic Puffin,87,0.5888422544827586,0.1728043650657544,0.11536642088009785,15.033979760720632,0.42390987117977164,36.88015879264013,0.24441603714127597,21.26419523129101,1,0,21.846179031919498
European Serin,62,0.5928243772580645,0.1057247835082917,0.04460551019899889,6.554936577514085,0.4322721230767992,26.80087163076155,0.1329577735464461,8.24338195987966,6,0.16666666666666666,20.245935053247464
European Greenfinch,68,0.6201735325,0.19335240889918717,0.1032098675169682,13.147963805144729,0.4665279738927681,31.723902224708233,0.26285987496428076,17.87447149757109,1,0,18.575938419563506
Graylag Goose,91,0.6557192713186814,0.7057843411192528,0.7184084283912511,64.22637504185201,0.5025603376582511,45.73299072690086,0.6979713380408281,63.51539176171536,6,0.8333333333333334,-18.49338431495115
Marsh Tit,64,0.55107853703125,0.09194297374135052,0.05782510278676195,5.884350319446433,0.37806229139068087,24.195986649003576,0.13888857351099856,8.888868704703908,1,0,18.311636329557142
Eurasian Nuthatch,218,0.6346861498623854,0.5569047250179932,0.5004021551876261,121.40523005392251,0.4880335785066827,106.39132011445683,0.5610882115300161,122.31723011354352,10,0.5,-15.013909939465677
Eurasian Scops-Owl,68,0.5915724061764706,0.21561367017196675,0.1495074917840577,14.661729571693739,0.42800949183824083,29.104645445000376,0.23350565597848674,15.878384606537098,6,0.3333333333333333,14.442915873306637
Cirl Bunting,54,0.5976647292592593,0.18221814839926534,0.1264996096232603,9.839780013560329,0.4337355242310788,23.42171830847826,0.20577142370273055,11.11165687994745,6,0.16666666666666666,13.58193829491793
Canada Goose,61,0.6360965801639344,0.2681018648456563,0.13213862296051793,16.354213755585032,0.48911418063436934,29.835965018696527,0.34769565726675705,21.20943509327218,1,0,13.481751263111494
Redwing,43,0.6159791853488372,0.7548124315552791,0.7775859885185903,32.456934556877,0.4655600861057319,20.01908370254647,0.7396531492201437,31.805085416466177,6,0.8333333333333334,-12.43785085433053
Northern Goshawk,38,0.5639965523684211,0.6891146264614724,0.6899416739287765,26.18635580553595,0.3697530794662368,14.050617019717,0.6403765162306708,24.334307616765493,1,1,-12.13573878581895
Common Wood-Pigeon,62,0.5687710851612903,0.5717457748433986,0.5423235358709593,35.44823804029071,0.3925114872588204,24.335712210046868,0.5648387903507678,35.0200050017476,6,0.6666666666666666,-11.112525830243843
Eurasian Hobby,55,0.5538495709090909,0.158095147890236,0.11417040735651468,8.69523313396298,0.3599647898635241,19.798063442493824,0.17468409943070845,9.607625468688965,6,0.16666666666666666,11.102830308530844
European Honey-buzzard,40,0.5859866225,0.1487760622803924,0.08600075868504001,5.951042491215696,0.41156011975549095,16.462404790219637,0.1777470772923653,7.109883091694612,6,0.16666666666666666,10.511362299003942
Common Kingfisher,46,0.5760186508695652,0.1600398769770952,0.10567469036275784,7.36183434094638,0.3837761558139565,17.653703167442,0.2271464297722172,10.44873576952199,1,0,10.29186882649562
Northern Lapwing,48,0.5994992245833334,0.21613558087915594,0.16572959809405396,10.374507882199484,0.42797190105049093,20.542651250423564,0.23802960682578514,11.425421127637685,6,0.16666666666666666,10.16814336822408
Iberian Chiffchaff,32,0.5175466871875,0.035128303484944175,0.030125203149889937,1.1241057115182136,0.33498961126674387,10.719667560535804,0.05517276153713689,1.7655283691883805,6,0,9.59556184901759
Eurasian Curlew,86,0.5718359289534883,0.28816142655930566,0.23692619148024846,24.78188268410029,0.3992340075765215,34.33412465158085,0.2996777727139233,25.772288453397408,6,0.3333333333333333,9.552241967480562
Black-legged Kittiwake,37,0.55196563,0.14688939966857723,0.08593784983733123,5.434907787737358,0.3816837105807281,14.122297291486937,0.16492529798522937,6.102236025453487,6,0.16666666666666666,8.687389503749579
Gray Wagtail,144,0.5706080364583334,0.33528733584662096,0.2678936539024155,48.281376361913416,0.3930116902233354,56.593683392160294,0.3414345322011477,49.16657263696527,10,0.3,8.312307030246878
Lesser Spotted Woodpecker,34,0.5683668811764706,0.14493579405711182,0.09661881557279978,4.927816997941801,0.38752140592492385,13.175727801447412,0.16610967642687924,5.647728998513894,6,0.16666666666666666,8.247910803505611
Bearded Reedling,27,0.6151505188888888,0.15585774322999438,0.13725714224369653,4.208159067209849,0.4519159251153536,12.201729978114548,0.22417405857232828,6.052699581452863,1,0,7.993570910904699
Crested Tit,27,0.53116759,0.04869533807109712,0.03195238825114203,1.3147741279196221,0.339881578423756,9.17680261744141,0.38057943853733395,10.275644840508017,6,0,7.862028489521788
Common Raven,57,0.56885856,0.5338882108711214,0.4855301404812296,30.431628019653918,0.3995189827968137,22.77258201941838,0.5284654009080579,30.122527851759305,6,0.6666666666666666,-7.659046000235538
Eurasian Moorhen,20,0.556099567,0.7553803177130887,0.7406115927797584,15.107606354261774,0.37839340766422586,7.5678681532845165,0.7140664251633502,14.281328503267003,4,1,-7.539738200977258
Common Grasshopper-Warbler,121,0.588617597768595,0.3588342683579709,0.2821234816588675,43.41894647131448,0.42100697459623243,50.941843926144124,0.389600768577502,47.14169299787774,1,1,7.522897454829646
Eurasian Golden Oriole,38,0.6123987889473684,0.2723378337976584,0.22025458998906383,10.34883768431102,0.4553283045933781,17.302475574548367,0.2932916628808408,11.14508318947195,6,0.3333333333333333,6.9536378902373475
Black Kite,18,0.5900485461111111,0.6995824609845528,0.6928269131597097,12.59248429772195,0.33457739178183044,6.022393052072948,0.6778651948799004,12.201573507838207,4,0.75,-6.570091245649003
Gray Heron,18,0.5778477788888889,0.05831843629503769,0.03549298186290913,1.0497318533106783,0.4077623553805695,7.339722396850251,0.09224639815869401,1.6604351668564923,4,0,6.289990543539573
European Stonechat,13,0.5799364130769231,0.8622026655981356,0.9010201000501407,11.208634652775764,0.38291498094373017,4.977894752268492,0.8309632107136221,10.802521739277086,4,1,-6.230739900507272
Common Crane,68,0.5767369611764706,0.3144852982150275,0.2857835807264414,21.38500027862187,0.39878979774756607,27.11770624683449,0.3238778939578383,22.023696789133002,6,0.3333333333333333,5.7327059682126205
Common Murre,20,0.511003491,0.04135250462840532,0.03464816255961633,0.8270500925681064,0.32763407766411884,6.552681553282377,0.06496214618748514,1.2992429237497027,4,0,5.72563146071427
Goldcrest,82,0.5455119369512195,0.431258695106079,0.36423088558075933,35.36321299869848,0.3618658787158674,29.673002054701126,0.42814446529359285,35.107846154074615,6,0.6666666666666666,-5.690210943997354
Ring Ouzel,21,0.5455917333333333,0.11417302867848796,0.07196131796904418,2.397633602248247,0.3586245904214134,7.531116398849681,0.1323460733896768,2.7792675411832124,6,0.16666666666666666,5.1334827966014345
Little Bittern,12,0.6252927366666666,0.057870133578378995,0.023549532080730663,0.6944416029405479,0.472168638990304,5.666023667883647,0.09239019361653225,1.108682323398387,4,0,4.9715820649430995
Egyptian Goose,72,0.7312181870833333,0.5368962391591555,0.4899750714414628,38.656529219459195,0.6016492609626176,43.31874678930846,0.587615262784734,42.30829892050084,1,1,4.662217569849268
Red-throated Loon,14,0.54958503,0.05328430690472096,0.022188371637967264,0.7459802966660936,0.37942512695074737,5.311951777310464,0.0834079465993648,1.1677112523911073,4,0,4.56597148064437
Ortolan Bunting,16,0.555489845625,0.6527068974761968,0.6102180238175894,10.443310359619149,0.3691746079918615,5.906793727869784,0.6352662119482992,10.164259391172788,4,0.75,-4.536516631749365
Mandarin Duck,14,0.661854675,0.8137689699800758,0.8491837657054302,11.39276557972106,0.4899141247194893,6.858797746072851,0.7872646017755133,11.021704424857186,4,1,-4.533967833648209
Wood Warbler,21,0.5793886557142857,0.6188503268230025,0.617772464767837,12.99585686328305,0.4039415557726163,8.482772671224943,0.6060484716652513,12.727017904970277,6,0.6666666666666666,-4.513084192058107
Eurasian Pygmy-Owl,12,0.585981725,0.055593417193293075,0.028116857471327958,0.6671210063195169,0.42405785404773305,5.088694248572797,0.47549925625774175,5.705991075092901,4,0,4.42157324225328
Black-tailed Godwit,12,0.6032522133333333,0.07670429441817804,0.06952761146974727,0.9204515330181365,0.44012969778872935,5.281556373464753,0.11956086747071709,1.434730409648605,4,0,4.361104840446616
European Storm-Petrel,16,0.56201978625,0.642754794565126,0.6535589925451758,10.284076713042015,0.37971478880237086,6.075436620837934,0.6274342927884735,10.038948684615576,4,0.75,-4.208640092204082
Eurasian Collared-Dove,22,0.5446065472727273,0.5455088961051714,0.5084355203974333,12.00119571431377,0.35510553226130176,7.812321709748638,0.5370689383229448,11.815516643104784,6,0.6666666666666666,-4.188874004565132
European Turtle-Dove,14,0.63486725,0.20815987667262367,0.07925331873925265,2.914238273416731,0.48738535877709543,6.823395022879335,0.25370956856879745,3.5519339599631645,4,0.25,3.9091567494626043
Eurasian Woodcock,19,0.7743136421052632,0.8860458048410348,0.9272032790511798,16.834870291979662,0.6831798432214429,12.980417021207415,0.8709404092515762,16.54786777577995,4,1,-3.8544532707722468
Bohemian Waxwing,18,0.5780441633333333,0.20052226517006902,0.1666283085453734,3.6094007730612425,0.40850893476140127,7.353160825705223,0.224079831403349,4.033436965260282,4,0.25,3.7437600526439807
Willow Warbler,25,0.584856024,0.2765926451988628,0.18345996766894754,6.91481612997157,0.42374317792690597,10.59357944817265,0.293041782568654,7.32604456421635,6,0.3333333333333333,3.6787633182010797
Hawfinch,81,0.5824695422222222,0.46104343501608364,0.38578543104792345,37.344518236302775,0.416520184332291,33.73813493091557,0.4617431811355354,37.40119767197837,6,0.6666666666666666,-3.6063833053872045
Barn Swallow,38,0.6250568576315789,0.3766351092891231,0.2714806294005966,14.312134152986676,0.4700616387745451,17.862342273432713,0.42463852169144584,16.13626382427494,1,1,3.5502081204460367
Spotted Flycatcher,22,0.5779526700000001,0.24156432326744548,0.17088680975043197,5.3144151118838,0.40098638517490387,8.821700473847885,0.25505731959875094,5.611261031172521,6,0.3333333333333333,3.507285361964085
Razorbill,9,0.6231773288888889,0.06841352693492943,0.05138027656858386,0.6157217424143648,0.4502946075952223,4.052651468357,0.10819505790493598,0.9737555211444239,4,0,3.4369297259426355
Herring Gull,20,0.611639325,0.620304164396384,0.5753842548228407,12.40608328792768,0.4495836739123302,8.991673478246604,0.6103576687984045,12.20715337596809,4,0.75,-3.414409809681077
Yellow-browed Warbler,22,0.6193246763636363,0.6033662194368543,0.6012168151886869,13.274056827610796,0.45526117510135894,10.015745852229896,0.6015278498621663,13.23361269696766,6,0.6666666666666666,-3.2583109753808994
Water Rail,10,0.543870494,0.04841937789150316,0.038718523735233934,0.48419377891503157,0.36544864296070445,3.6544864296070445,0.07620036479680546,0.7620036479680546,4,0,3.170292650692013
Gray Partridge,37,0.5260494964864865,0.2564917462701333,0.22190463593659734,9.490194611994934,0.3405385994854189,12.5999281809605,0.26069830703768226,9.645837360394243,6,0.3333333333333333,3.1097335689655665
Eurasian Penduline-Tit,11,0.5215321763636364,0.04561269741605411,0.04226787331253107,0.5017396715765952,0.3278996412633575,3.6068960538969326,0.071931247040555,0.7912437174461049,4,0,3.105156382320337
Green Sandpiper,17,0.6063389658823529,0.2796683629776768,0.1729443830685244,4.754362170620506,0.45256607640079394,7.693623298813497,0.2996613669586516,5.094243238297077,4,0.5,2.9392611281929915
Common Greenshank,16,0.5273837125,0.5201516466957568,0.5094355110197618,8.322426347132108,0.3381595769224689,5.410553230759502,0.4906177487882435,7.849883980611896,1,1,-2.9118731163726057
Yellow-headed Parrot,8,0.596086975,0.06962674664962012,0.034988849237474307,0.557013973196961,0.4335326775159682,3.4682614201277455,0.489500338193242,3.916002705545936,4,0,2.9112474469307843
Peregrine Falcon,10,0.694868521,0.27079174247941445,0.08291362870216872,2.7079174247941444,0.561249651156039,5.61249651156039,0.31600053811276163,3.160005381127616,4,0.25,2.9045790867662453
Red Kite,168,0.7004654526785714,0.569688666274532,0.5285554083286159,95.70769593412138,0.5533652144223976,92.9653560229628,0.5806130259639845,97.54298836194938,3,0.6666666666666666,-2.742339911158581
Song Thrush,20,0.5958872445,0.30424761877897805,0.23595664552964796,6.084952375579561,0.4372416440137775,8.74483288027555,0.35801109423216454,7.160221884643291,1,1,2.65988050469599
Crested Lark,8,0.56074287,0.056281129975187465,0.03567222408766712,0.4502490398014997,0.3876975051038124,3.101580040830499,0.08861755319100821,0.7089404255280657,4,0,2.6513310010289994
Barn Owl,7,0.6488980042857143,0.8661355959476972,0.8552367735455717,6.06294917163388,0.50286886069866,3.52008202489062,0.8413068449313342,5.88914791451934,4,1,-2.54286714674326
Siberian Accentor,15,0.6602550533333333,0.675171159487374,0.7609612584150707,10.127567392310612,0.5105176539099854,7.657764808649781,0.6721516201850891,10.082274302776337,4,0.75,-2.4698025836608304
Little Ringed Plover,11,0.5813710654545454,0.18272548129249805,0.09314104239590154,2.0099802942174785,0.40545724381486753,4.460029681963543,0.2069411404502353,2.276352544952588,4,0.25,2.4500493877460645
Rock Partridge,8,0.5386960737500001,0.05745339771167765,0.04759463969931416,0.4596271816934212,0.3601407542997633,2.881126034398106,0.3983481220431721,3.186784976345377,4,0,2.4214988527046852
Common Chaffinch,5,0.532069514,0.8369189386155502,0.8293113778268834,4.184594693077751,0.35641513914724293,1.7820756957362147,0.7989980627260403,3.9949903136302014,4,1,-2.4025189973415366
Willow Tit,26,0.5960415234615385,0.5322351204087523,0.4867177939152134,13.838113130627558,0.4404222947800786,11.450979664282043,0.5295310668734475,13.767807738709635,6,0.6666666666666666,-2.3871334663455155
Black Redstart,22,0.5902412104545455,0.3198671670615703,0.2704255124259921,7.0370776753545465,0.42659020736008146,9.384984561921792,0.3332083853276237,7.330584477207722,6,0.3333333333333333,2.3479068865672454
Greater Whitethroat,8,0.54397321,0.060521164387996394,0.04629392844819645,0.48416931510397115,0.35201672273852835,2.816133781908227,0.09493777986241833,0.7595022388993466,4,0,2.331964466804256
Eurasian Oystercatcher,8,0.53669498,0.05702409209290585,0.0369895047133469,0.4561927367432468,0.34823630178077086,2.785890414246167,0.08969959602494712,0.717596768199577,4,0,2.32969767750292
Corsican Finch,7,0.55679137,0.055594890194877865,0.03306534518455141,0.389164231364145,0.38684745045530966,2.7079321531871674,0.42889660731313356,3.002276251191935,4,0,2.3187679218230226
Fieldfare,10,0.58993649,0.18015697790050428,0.09489006294256674,1.801569779005043,0.40520935840833033,4.052093584083304,0.20753520095796488,2.0753520095796487,4,0.25,2.2505238050782608
Eurasian Reed Warbler,8,0.50016844625,0.04229382781172309,0.03711304498823902,0.3383506224937847,0.31590241514418804,2.5272193211535043,0.0662644779144616,0.5301158233156928,4,0,2.1888686986597197
