scenario,scenario_label,year_month,q,q_label,mean,sd,median,lower_95,upper_95
Primary_M3,Primary M3: species-aware,2021-12,0,q = 0: Richness,24.759,2.3082996441639128,25,20,29
Primary_M3,Primary M3: species-aware,2021-12,1,q = 1: Exponential Shannon,7.060674630359389,0.4812302355691363,7.059398557668816,6.1112848949521075,8.008467746700806
Primary_M3,Primary M3: species-aware,2021-12,2,q = 2: Inverse Simpson,3.9998796324400336,0.21417880143830528,3.9988338334177023,3.589079604145683,4.452290089087324
Primary_M3,Primary M3: species-aware,2022-01,0,q = 0: Richness,39.98,3.3067407722007083,40,34,47
Primary_M3,Primary M3: species-aware,2022-01,1,q = 1: Exponential Shannon,7.980026287681432,0.44127142255473717,7.9851185714953115,7.1268346772231315,8.858579823699339
Primary_M3,Primary M3: species-aware,2022-01,2,q = 2: Inverse Simpson,4.1971670640984,0.20522708464141487,4.1992537211900185,3.7890986559532047,4.593153740280675
Primary_M3,Primary M3: species-aware,2022-02,0,q = 0: Richness,41.177,3.088885270160129,41,35,47
Primary_M3,Primary M3: species-aware,2022-02,1,q = 1: Exponential Shannon,11.080032851923953,0.6070285998688724,11.083201796856123,9.868634869486943,12.291281807536818
Primary_M3,Primary M3: species-aware,2022-02,2,q = 2: Inverse Simpson,6.481999721631193,0.3202450316652296,6.488619238578735,5.798002602297476,7.096395184509092
Primary_M3,Primary M3: species-aware,2022-08,0,q = 0: Richness,25.688,2.2216191373841716,26,21,30
Primary_M3,Primary M3: species-aware,2022-08,1,q = 1: Exponential Shannon,11.846380658221968,0.7532502189187037,11.871536686130174,10.304196939721136,13.279713036761105
Primary_M3,Primary M3: species-aware,2022-08,2,q = 2: Inverse Simpson,7.9999197476488195,0.4461251444189808,8.019888287769383,7.035507579120789,8.822128431693862
Primary_M3,Primary M3: species-aware,2022-09,0,q = 0: Richness,61.868,4.3505750773321346,62,54,71
Primary_M3,Primary M3: species-aware,2022-09,1,q = 1: Exponential Shannon,7.419730890607766,0.3091751818028803,7.420327200632588,6.824397582421539,8.002684170585503
Primary_M3,Primary M3: species-aware,2022-09,2,q = 2: Inverse Simpson,4.381685973588945,0.13778177469503777,4.385360455360969,4.10561447536096,4.6598989731539815
Primary_M3,Primary M3: species-aware,2022-10,0,q = 0: Richness,64.35,4.209182487991845,64,56,72
Primary_M3,Primary M3: species-aware,2022-10,1,q = 1: Exponential Shannon,6.831594913531691,0.2928157785558932,6.840491985935147,6.233752740727834,7.414779057904594
Primary_M3,Primary M3: species-aware,2022-10,2,q = 2: Inverse Simpson,3.9305998799275077,0.12986336631280532,3.935468088596486,3.665698591569257,4.185194107399265
Primary_M3,Primary M3: species-aware,2022-11,0,q = 0: Richness,49.988,3.408441502134586,50,43,57
Primary_M3,Primary M3: species-aware,2022-11,1,q = 1: Exponential Shannon,6.589689963120791,0.3253162799064401,6.589443304234722,5.947933610993967,7.247743575247615
Primary_M3,Primary M3: species-aware,2022-11,2,q = 2: Inverse Simpson,3.2913936430115127,0.1485932943911843,3.2906193420765995,3.0038611049247246,3.5951673060268883
Primary_M3,Primary M3: species-aware,2022-12,0,q = 0: Richness,39.648,3.08538743363222,40,33,46
Primary_M3,Primary M3: species-aware,2022-12,1,q = 1: Exponential Shannon,6.1953777828593175,0.3736626505473465,6.190843304014422,5.458773333729292,6.97667753532507
Primary_M3,Primary M3: species-aware,2022-12,2,q = 2: Inverse Simpson,3.074861385819617,0.16111573965266365,3.076504008460872,2.752127777344277,3.3978380658486596
Primary_M3,Primary M3: species-aware,2023-01,0,q = 0: Richness,40.463,2.9379009959939535,40,35,47
Primary_M3,Primary M3: species-aware,2023-01,1,q = 1: Exponential Shannon,6.389209864077313,0.34436705634572534,6.391358954513024,5.698989665788652,7.089788255871321
Primary_M3,Primary M3: species-aware,2023-01,2,q = 2: Inverse Simpson,3.381220234727958,0.14551435977101132,3.378237352675357,3.0761041702784224,3.67752918704849
Primary_M3,Primary M3: species-aware,2023-02,0,q = 0: Richness,59.716,3.675983794422502,60,53,67
Primary_M3,Primary M3: species-aware,2023-02,1,q = 1: Exponential Shannon,6.131787520035943,0.3000603993797383,6.133644619722686,5.556564041137566,6.708239055138694
