scenario,scenario_label,weighting,q,q_label,component,component_label,mean,sd,median,lower_95,upper_95
Primary_M3,Primary M3: species-aware,equal_month,0,q = 0: Richness,alpha,Alpha,49.20082608695652,2.082387099384708,49.130434782608695,45.17391304347826,53.565217391304344
Primary_M3,Primary M3: species-aware,equal_month,0,q = 0: Richness,gamma,Gamma,158.322,6.494497247246664,158,146,171
Primary_M3,Primary M3: species-aware,equal_month,0,q = 0: Richness,beta,Beta,3.219718461748867,0.10407288593548586,3.2185688753317576,3.007559591905509,3.4208988009161088
Primary_M3,Primary M3: species-aware,equal_month,1,q = 1: Exponential Shannon,alpha,Alpha,8.793580031037406,0.35660066846003524,8.795475448530865,8.089267838051015,9.46152788985623
Primary_M3,Primary M3: species-aware,equal_month,1,q = 1: Exponential Shannon,gamma,Gamma,14.808651834181743,0.6310765515731546,14.804727208050327,13.551244329964062,15.991237675223896
Primary_M3,Primary M3: species-aware,equal_month,1,q = 1: Exponential Shannon,beta,Beta,1.6839106894901792,0.009437576454835693,1.6834620768367494,1.6657846292562202,1.7028213091096434
Primary_M3,Primary M3: species-aware,equal_month,2,q = 2: Inverse Simpson,alpha,Alpha,4.711886938387877,0.15312022142509557,4.711306722583864,4.414582779570715,5.004672524773394
Primary_M3,Primary M3: species-aware,equal_month,2,q = 2: Inverse Simpson,gamma,Gamma,8.17005645087063,0.27479026508611104,8.173918140714456,7.652672076004251,8.709989254362242
Primary_M3,Primary M3: species-aware,equal_month,2,q = 2: Inverse Simpson,beta,Beta,1.7339060042198249,0.012897360454987662,1.7333042293693333,1.7104691757222477,1.7610049975805646
Primary_M3,Primary M3: species-aware,abundance_weighted,0,q = 0: Richness,alpha,Alpha,65.0455894654061,2.785395313065823,64.89273575716882,59.6376542253594,70.82358656683046
Primary_M3,Primary M3: species-aware,abundance_weighted,0,q = 0: Richness,gamma,Gamma,158.322,6.494497247246664,158,146,171
Primary_M3,Primary M3: species-aware,abundance_weighted,0,q = 0: Richness,beta,Beta,2.4353783495127654,0.0760407736873192,2.4348466587053883,2.2913519022235174,2.5900440640066766
Primary_M3,Primary M3: species-aware,abundance_weighted,1,q = 1: Exponential Shannon,alpha,Alpha,8.351733306054582,0.31498215258620965,8.357963561553692,7.7319852070856205,8.94231429926769
Primary_M3,Primary M3: species-aware,abundance_weighted,1,q = 1: Exponential Shannon,gamma,Gamma,12.577494701726488,0.4868682938606092,12.585331787444549,11.62457588208043,13.482007726076656
Primary_M3,Primary M3: species-aware,abundance_weighted,1,q = 1: Exponential Shannon,beta,Beta,1.5059265774950323,0.005638112214579586,1.5059491845289892,1.4944891137745024,1.5168333280687012
Primary_M3,Primary M3: species-aware,abundance_weighted,2,q = 2: Inverse Simpson,alpha,Alpha,4.527549106461581,0.12722442327838812,4.528490793776457,4.282074521169717,4.768500657875413
Primary_M3,Primary M3: species-aware,abundance_weighted,2,q = 2: Inverse Simpson,gamma,Gamma,7.296772349529923,0.2173243698272626,7.300994171657835,6.8795350580402905,7.700285821034171
Primary_M3,Primary M3: species-aware,abundance_weighted,2,q = 2: Inverse Simpson,beta,Beta,1.6116328584615587,0.015498924126780469,1.6121360412475216,1.578859179893109,1.641193723650042
Primary_M2,Primary M2: pooled,equal_month,0,q = 0: Richness,alpha,Alpha,58.83078260869565,0.964924433485929,58.826086956521735,56.927898550724635,60.724275362318835
Primary_M2,Primary M2: pooled,equal_month,0,q = 0: Richness,gamma,Gamma,193.263,4.458891421947019,193,185,202
Primary_M2,Primary M2: pooled,equal_month,0,q = 0: Richness,beta,Beta,3.2853502838618813,0.06857824780328783,3.2845238095238094,3.1578267464764913,3.4184455443556483
