method,weighting,q,q_label,component,component_label,estimate,lower_95,upper_95,n_months_used,method_label,method_class,result_type
Primary_M3,abundance_weighted,0,q = 0: Richness,alpha,Alpha,64.89273575716882,59.6376542253594,70.82358656683046,,Primary M3: species-aware,Reference,Monte Carlo
Primary_M3,abundance_weighted,0,q = 0: Richness,gamma,Gamma,158,146,171,,Primary M3: species-aware,Reference,Monte Carlo
Primary_M3,abundance_weighted,0,q = 0: Richness,beta,Beta,2.4348466587053883,2.2913519022235174,2.5900440640066766,,Primary M3: species-aware,Reference,Monte Carlo
Primary_M3,abundance_weighted,1,q = 1: Exponential Shannon,alpha,Alpha,8.357963561553692,7.7319852070856205,8.94231429926769,,Primary M3: species-aware,Reference,Monte Carlo
Primary_M3,abundance_weighted,1,q = 1: Exponential Shannon,gamma,Gamma,12.585331787444549,11.62457588208043,13.482007726076656,,Primary M3: species-aware,Reference,Monte Carlo
Primary_M3,abundance_weighted,1,q = 1: Exponential Shannon,beta,Beta,1.5059491845289892,1.4944891137745024,1.5168333280687012,,Primary M3: species-aware,Reference,Monte Carlo
Primary_M3,abundance_weighted,2,q = 2: Inverse Simpson,alpha,Alpha,4.528490793776457,4.282074521169717,4.768500657875413,,Primary M3: species-aware,Reference,Monte Carlo
Primary_M3,abundance_weighted,2,q = 2: Inverse Simpson,gamma,Gamma,7.300994171657835,6.8795350580402905,7.700285821034171,,Primary M3: species-aware,Reference,Monte Carlo
Primary_M3,abundance_weighted,2,q = 2: Inverse Simpson,beta,Beta,1.6121360412475216,1.578859179893109,1.641193723650042,,Primary M3: species-aware,Reference,Monte Carlo
Primary_M3,equal_month,0,q = 0: Richness,alpha,Alpha,49.130434782608695,45.17391304347826,53.565217391304344,,Primary M3: species-aware,Reference,Monte Carlo
Primary_M3,equal_month,0,q = 0: Richness,gamma,Gamma,158,146,171,,Primary M3: species-aware,Reference,Monte Carlo
Primary_M3,equal_month,0,q = 0: Richness,beta,Beta,3.2185688753317576,3.007559591905509,3.4208988009161088,,Primary M3: species-aware,Reference,Monte Carlo
Primary_M3,equal_month,1,q = 1: Exponential Shannon,alpha,Alpha,8.795475448530865,8.089267838051015,9.46152788985623,,Primary M3: species-aware,Reference,Monte Carlo
Primary_M3,equal_month,1,q = 1: Exponential Shannon,gamma,Gamma,14.804727208050327,13.551244329964062,15.991237675223896,,Primary M3: species-aware,Reference,Monte Carlo
Primary_M3,equal_month,1,q = 1: Exponential Shannon,beta,Beta,1.6834620768367494,1.6657846292562202,1.7028213091096434,,Primary M3: species-aware,Reference,Monte Carlo
Primary_M3,equal_month,2,q = 2: Inverse Simpson,alpha,Alpha,4.711306722583864,4.414582779570715,5.004672524773394,,Primary M3: species-aware,Reference,Monte Carlo
Primary_M3,equal_month,2,q = 2: Inverse Simpson,gamma,Gamma,8.173918140714456,7.652672076004251,8.709989254362242,,Primary M3: species-aware,Reference,Monte Carlo
Primary_M3,equal_month,2,q = 2: Inverse Simpson,beta,Beta,1.7333042293693333,1.7104691757222477,1.7610049975805646,,Primary M3: species-aware,Reference,Monte Carlo
Primary_M2,abundance_weighted,0,q = 0: Richness,alpha,Alpha,78.3714617646195,75.63563835099491,81.1325886549362,,Primary M2: pooled,Probability sensitivity,Monte Carlo
Primary_M2,abundance_weighted,0,q = 0: Richness,gamma,Gamma,193,185,202,,Primary M2: pooled,Probability sensitivity,Monte Carlo
Primary_M2,abundance_weighted,0,q = 0: Richness,beta,Beta,2.4650241446428574,2.3643914276666855,2.5603064085724543,,Primary M2: pooled,Probability sensitivity,Monte Carlo
Primary_M2,abundance_weighted,1,q = 1: Exponential Shannon,alpha,Alpha,10.418835552807117,10.16198907405203,10.684872970063353,,Primary M2: pooled,Probability sensitivity,Monte Carlo
Primary_M2,abundance_weighted,1,q = 1: Exponential Shannon,gamma,Gamma,16.16913746456752,15.777352622560763,16.565425379076714,,Primary M2: pooled,Probability sensitivity,Monte Carlo
Primary_M2,abundance_weighted,1,q = 1: Exponential Shannon,beta,Beta,1.5518389467658993,1.5440289693540097,1.5595354158627122,,Primary M2: pooled,Probability sensitivity,Monte Carlo
Primary_M2,abundance_weighted,2,q = 2: Inverse Simpson,alpha,Alpha,5.105436884511388,5.006688179032166,5.2019594244726575,,Primary M2: pooled,Probability sensitivity,Monte Carlo
Primary_M2,abundance_weighted,2,q = 2: Inverse Simpson,gamma,Gamma,8.32341312723046,8.161474216201183,8.490201864866988,,Primary M2: pooled,Probability sensitivity,Monte Carlo
Primary_M2,abundance_weighted,2,q = 2: Inverse Simpson,beta,Beta,1.6303022927680166,1.6215563327798157,1.6396647816331158,,Primary M2: pooled,Probability sensitivity,Monte Carlo
Primary_M2,equal_month,0,q = 0: Richness,alpha,Alpha,58.826086956521735,56.927898550724635,60.724275362318835,,Primary M2: pooled,Probability sensitivity,Monte Carlo
Primary_M2,equal_month,0,q = 0: Richness,gamma,Gamma,193,185,202,,Primary M2: pooled,Probability sensitivity,Monte Carlo
Primary_M2,equal_month,0,q = 0: Richness,beta,Beta,3.2845238095238094,3.1578267464764913,3.4184455443556483,,Primary M2: pooled,Probability sensitivity,Monte Carlo
Primary_M2,equal_month,1,q = 1: Exponential Shannon,alpha,Alpha,11.18790442138537,10.845507303518636,11.515677536905628,,Primary M2: pooled,Probability sensitivity,Monte Carlo
Primary_M2,equal_month,1,q = 1: Exponential Shannon,gamma,Gamma,19.839855217451877,19.232473763266505,20.429902574749804,,Primary M2: pooled,Probability sensitivity,Monte Carlo
Primary_M2,equal_month,1,q = 1: Exponential Shannon,beta,Beta,1.7725531200514952,1.752410678956302,1.7945658468838324,,Primary M2: pooled,Probability sensitivity,Monte Carlo
Primary_M2,equal_month,2,q = 2: Inverse Simpson,alpha,Alpha,5.438649548949653,5.308884390660818,5.5751992940959925,,Primary M2: pooled,Probability sensitivity,Monte Carlo
Primary_M2,equal_month,2,q = 2: Inverse Simpson,gamma,Gamma,9.653199044999448,9.414028232718277,9.893507918567417,,Primary M2: pooled,Probability sensitivity,Monte Carlo
Primary_M2,equal_month,2,q = 2: Inverse Simpson,beta,Beta,1.7748317360051304,1.7528062490057565,1.7967875716008723,,Primary M2: pooled,Probability sensitivity,Monte Carlo
Audio_only,abundance_weighted,0,q = 0: Richness,alpha,Alpha,71.55993715957052,66.7307001755301,76.38222045263423,,Audio-only sensitivity,Probability sensitivity,Monte Carlo
Audio_only,abundance_weighted,0,q = 0: Richness,gamma,Gamma,172,160,183,,Audio-only sensitivity,Probability sensitivity,Monte Carlo
Audio_only,abundance_weighted,0,q = 0: Richness,beta,Beta,2.3946016841437263,2.2664867685996524,2.5273487864562694,,Audio-only sensitivity,Probability sensitivity,Monte Carlo
Audio_only,abundance_weighted,1,q = 1: Exponential Shannon,alpha,Alpha,8.930933446040026,8.351645401691007,9.541296828154207,,Audio-only sensitivity,Probability sensitivity,Monte Carlo
Audio_only,abundance_weighted,1,q = 1: Exponential Shannon,gamma,Gamma,13.523063661911486,12.614363319277704,14.472322454902482,,Audio-only sensitivity,Probability sensitivity,Monte Carlo
Audio_only,abundance_weighted,1,q = 1: Exponential Shannon,beta,Beta,1.5144329088372062,1.5054185426962605,1.526086882897825,,Audio-only sensitivity,Probability sensitivity,Monte Carlo
Audio_only,abundance_weighted,2,q = 2: Inverse Simpson,alpha,Alpha,4.6938896021374115,4.457832679707558,4.956985587220709,,Audio-only sensitivity,Probability sensitivity,Monte Carlo
Audio_only,abundance_weighted,2,q = 2: Inverse Simpson,gamma,Gamma,7.557649244863903,7.155982375306509,8.016423017009505,,Audio-only sensitivity,Probability sensitivity,Monte Carlo
Audio_only,abundance_weighted,2,q = 2: Inverse Simpson,beta,Beta,1.6107579288613045,1.58316720125899,1.6414949011503839,,Audio-only sensitivity,Probability sensitivity,Monte Carlo
Audio_only,equal_month,0,q = 0: Richness,alpha,Alpha,54.21739130434783,50.65217391304348,57.826086956521735,,Audio-only sensitivity,Probability sensitivity,Monte Carlo
Audio_only,equal_month,0,q = 0: Richness,gamma,Gamma,172,160,183,,Audio-only sensitivity,Probability sensitivity,Monte Carlo
Audio_only,equal_month,0,q = 0: Richness,beta,Beta,3.156862745098039,2.9795615844252143,3.3366321862907684,,Audio-only sensitivity,Probability sensitivity,Monte Carlo
Audio_only,equal_month,1,q = 1: Exponential Shannon,alpha,Alpha,9.456627154380145,8.7775924969819,10.122691570330076,,Audio-only sensitivity,Probability sensitivity,Monte Carlo
Audio_only,equal_month,1,q = 1: Exponential Shannon,gamma,Gamma,16.07445156732285,14.916256388055755,17.23889104043403,,Audio-only sensitivity,Probability sensitivity,Monte Carlo
Audio_only,equal_month,1,q = 1: Exponential Shannon,beta,Beta,1.6985835309276975,1.6826868979607261,1.717895747778908,,Audio-only sensitivity,Probability sensitivity,Monte Carlo
Audio_only,equal_month,2,q = 2: Inverse Simpson,alpha,Alpha,4.896394403046523,4.601190784991196,5.203970965313622,,Audio-only sensitivity,Probability sensitivity,Monte Carlo
Audio_only,equal_month,2,q = 2: Inverse Simpson,gamma,Gamma,8.500701280802447,7.962635152814553,9.048533473724074,,Audio-only sensitivity,Probability sensitivity,Monte Carlo
Audio_only,equal_month,2,q = 2: Inverse Simpson,beta,Beta,1.7344951392239105,1.7129216854063394,1.761903035356081,,Audio-only sensitivity,Probability sensitivity,Monte Carlo
Naive,abundance_weighted,0,q = 0: Richness,alpha,Alpha,103.99140295762777,103.99140295762777,103.99140295762777,23,Naive: all candidates,Deterministic,Point estimate
Naive,abundance_weighted,0,q = 0: Richness,gamma,Gamma,229,229,229,23,Naive: all candidates,Deterministic,Point estimate
Naive,abundance_weighted,0,q = 0: Richness,beta,Beta,2.2021051114514543,2.2021051114514543,2.2021051114514543,23,Naive: all candidates,Deterministic,Point estimate
Naive,abundance_weighted,1,q = 1: Exponential Shannon,alpha,Alpha,13.12257809205097,13.12257809205097,13.12257809205097,23,Naive: all candidates,Deterministic,Point estimate
Naive,abundance_weighted,1,q = 1: Exponential Shannon,gamma,Gamma,20.0964241102454,20.0964241102454,20.0964241102454,23,Naive: all candidates,Deterministic,Point estimate
