method,year_month,q,q_label,estimate,lower_95,upper_95,accepted_event_species,diversity,method_label,method_class,result_type,reference_estimate,reference_lower_95,reference_upper_95,absolute_difference,percentage_difference
Primary_M3,2021-12,0,q = 0: Richness,25,20,29,,,Primary M3: species-aware,Reference,Monte Carlo,25,20,29,0,0
Primary_M3,2021-12,1,q = 1: Exponential Shannon,7.059398557668816,6.1112848949521075,8.008467746700806,,,Primary M3: species-aware,Reference,Monte Carlo,7.059398557668816,6.1112848949521075,8.008467746700806,0,0
Primary_M3,2021-12,2,q = 2: Inverse Simpson,3.9988338334177023,3.589079604145683,4.452290089087324,,,Primary M3: species-aware,Reference,Monte Carlo,3.9988338334177023,3.589079604145683,4.452290089087324,0,0
Primary_M3,2022-01,0,q = 0: Richness,40,34,47,,,Primary M3: species-aware,Reference,Monte Carlo,40,34,47,0,0
Primary_M3,2022-01,1,q = 1: Exponential Shannon,7.9851185714953115,7.1268346772231315,8.858579823699339,,,Primary M3: species-aware,Reference,Monte Carlo,7.9851185714953115,7.1268346772231315,8.858579823699339,0,0
Primary_M3,2022-01,2,q = 2: Inverse Simpson,4.1992537211900185,3.7890986559532047,4.593153740280675,,,Primary M3: species-aware,Reference,Monte Carlo,4.1992537211900185,3.7890986559532047,4.593153740280675,0,0
Primary_M3,2022-02,0,q = 0: Richness,41,35,47,,,Primary M3: species-aware,Reference,Monte Carlo,41,35,47,0,0
Primary_M3,2022-02,1,q = 1: Exponential Shannon,11.083201796856123,9.868634869486943,12.291281807536818,,,Primary M3: species-aware,Reference,Monte Carlo,11.083201796856123,9.868634869486943,12.291281807536818,0,0
Primary_M3,2022-02,2,q = 2: Inverse Simpson,6.488619238578735,5.798002602297476,7.096395184509092,,,Primary M3: species-aware,Reference,Monte Carlo,6.488619238578735,5.798002602297476,7.096395184509092,0,0
Primary_M3,2022-08,0,q = 0: Richness,26,21,30,,,Primary M3: species-aware,Reference,Monte Carlo,26,21,30,0,0
Primary_M3,2022-08,1,q = 1: Exponential Shannon,11.871536686130174,10.304196939721136,13.279713036761105,,,Primary M3: species-aware,Reference,Monte Carlo,11.871536686130174,10.304196939721136,13.279713036761105,0,0
Primary_M3,2022-08,2,q = 2: Inverse Simpson,8.019888287769383,7.035507579120789,8.822128431693862,,,Primary M3: species-aware,Reference,Monte Carlo,8.019888287769383,7.035507579120789,8.822128431693862,0,0
Primary_M3,2022-09,0,q = 0: Richness,62,54,71,,,Primary M3: species-aware,Reference,Monte Carlo,62,54,71,0,0
