method,weighting,q,q_label,component,component_label,estimate,lower_95,upper_95,n_months_used,method_label,method_class,result_type,reference_estimate,reference_lower_95,reference_upper_95,absolute_difference,percentage_difference
Primary_M3,abundance_weighted,0,q = 0: Richness,alpha,Alpha,64.89273575716882,59.6376542253594,70.82358656683046,,Primary M3: species-aware,Reference,Monte Carlo,64.89273575716882,59.6376542253594,70.82358656683046,0,0
Primary_M3,abundance_weighted,0,q = 0: Richness,gamma,Gamma,158,146,171,,Primary M3: species-aware,Reference,Monte Carlo,158,146,171,0,0
Primary_M3,abundance_weighted,0,q = 0: Richness,beta,Beta,2.4348466587053883,2.2913519022235174,2.5900440640066766,,Primary M3: species-aware,Reference,Monte Carlo,2.4348466587053883,2.2913519022235174,2.5900440640066766,0,0
Primary_M3,abundance_weighted,1,q = 1: Exponential Shannon,alpha,Alpha,8.357963561553692,7.7319852070856205,8.94231429926769,,Primary M3: species-aware,Reference,Monte Carlo,8.357963561553692,7.7319852070856205,8.94231429926769,0,0
Primary_M3,abundance_weighted,1,q = 1: Exponential Shannon,gamma,Gamma,12.585331787444549,11.62457588208043,13.482007726076656,,Primary M3: species-aware,Reference,Monte Carlo,12.585331787444549,11.62457588208043,13.482007726076656,0,0
Primary_M3,abundance_weighted,1,q = 1: Exponential Shannon,beta,Beta,1.5059491845289892,1.4944891137745024,1.5168333280687012,,Primary M3: species-aware,Reference,Monte Carlo,1.5059491845289892,1.4944891137745024,1.5168333280687012,0,0
Primary_M3,abundance_weighted,2,q = 2: Inverse Simpson,alpha,Alpha,4.528490793776457,4.282074521169717,4.768500657875413,,Primary M3: species-aware,Reference,Monte Carlo,4.528490793776457,4.282074521169717,4.768500657875413,0,0
Primary_M3,abundance_weighted,2,q = 2: Inverse Simpson,gamma,Gamma,7.300994171657835,6.8795350580402905,7.700285821034171,,Primary M3: species-aware,Reference,Monte Carlo,7.300994171657835,6.8795350580402905,7.700285821034171,0,0
Primary_M3,abundance_weighted,2,q = 2: Inverse Simpson,beta,Beta,1.6121360412475216,1.578859179893109,1.641193723650042,,Primary M3: species-aware,Reference,Monte Carlo,1.6121360412475216,1.578859179893109,1.641193723650042,0,0
Primary_M3,equal_month,0,q = 0: Richness,alpha,Alpha,49.130434782608695,45.17391304347826,53.565217391304344,,Primary M3: species-aware,Reference,Monte Carlo,49.130434782608695,45.17391304347826,53.565217391304344,0,0
