year_month,q,q_label,diversity_median,diversity_lower_95,diversity_upper_95,unique_audio_ids,represented_audio_hours,active_detection_days,active_detection_hours,first_recording,last_recording
2021-12,0,q = 0: Richness,25,20,29,454,37.833333333333336,10,88,2021-12-21T07:54:59Z,2021-12-31T23:59:10Z
2021-12,1,q = 1: Exponential Shannon,7.059398557668816,6.1112848949521075,8.008467746700806,454,37.833333333333336,10,88,2021-12-21T07:54:59Z,2021-12-31T23:59:10Z
2021-12,2,q = 2: Inverse Simpson,3.9988338334177023,3.589079604145683,4.452290089087324,454,37.833333333333336,10,88,2021-12-21T07:54:59Z,2021-12-31T23:59:10Z
2022-01,0,q = 0: Richness,40,34,47,1339,111.58333333333333,25,309,2022-01-01T00:04:14Z,2022-01-31T22:38:31Z
2022-01,1,q = 1: Exponential Shannon,7.9851185714953115,7.1268346772231315,8.858579823699339,1339,111.58333333333333,25,309,2022-01-01T00:04:14Z,2022-01-31T22:38:31Z
2022-01,2,q = 2: Inverse Simpson,4.1992537211900185,3.7890986559532047,4.593153740280675,1339,111.58333333333333,25,309,2022-01-01T00:04:14Z,2022-01-31T22:38:31Z
2022-02,0,q = 0: Richness,41,35,47,950,79.16666666666667,14,194,2022-02-01T04:22:51Z,2022-02-14T01:00:51Z
2022-02,1,q = 1: Exponential Shannon,11.083201796856123,9.868634869486943,12.291281807536818,950,79.16666666666667,14,194,2022-02-01T04:22:51Z,2022-02-14T01:00:51Z
2022-02,2,q = 2: Inverse Simpson,6.488619238578735,5.798002602297476,7.096395184509092,950,79.16666666666667,14,194,2022-02-01T04:22:51Z,2022-02-14T01:00:51Z
2022-08,0,q = 0: Richness,26,21,30,289,24.083333333333332,6,87,2022-08-26T12:47:20Z,2022-08-31T21:53:45Z
2022-08,1,q = 1: Exponential Shannon,11.871536686130174,10.304196939721136,13.279713036761105,289,24.083333333333332,6,87,2022-08-26T12:47:20Z,2022-08-31T21:53:45Z
2022-08,2,q = 2: Inverse Simpson,8.019888287769383,7.035507579120789,8.822128431693862,289,24.083333333333332,6,87,2022-08-26T12:47:20Z,2022-08-31T21:53:45Z
2022-09,0,q = 0: Richness,62,54,71,2632,219.33333333333334,30,517,2022-09-01T03:28:00Z,2022-09-30T21:35:41Z
2022-09,1,q = 1: Exponential Shannon,7.420327200632588,6.824397582421539,8.002684170585503,2632,219.33333333333334,30,517,2022-09-01T03:28:00Z,2022-09-30T21:35:41Z
2022-09,2,q = 2: Inverse Simpson,4.385360455360969,4.10561447536096,4.6598989731539815,2632,219.33333333333334,30,517,2022-09-01T03:28:00Z,2022-09-30T21:35:41Z
