year_month,unique_audio_ids,represented_audio_hours,active_detection_days,active_detection_hours,first_recording,last_recording,low_represented_audio,low_active_days,low_coverage,coverage_set
2021-12,454,37.833333333333336,10,88,2021-12-21T07:54:59Z,2021-12-31T23:59:10Z,TRUE,TRUE,TRUE,Low represented coverage
2022-01,1339,111.58333333333333,25,309,2022-01-01T00:04:14Z,2022-01-31T22:38:31Z,FALSE,FALSE,FALSE,Higher represented coverage
2022-02,950,79.16666666666667,14,194,2022-02-01T04:22:51Z,2022-02-14T01:00:51Z,FALSE,TRUE,TRUE,Low represented coverage
2022-08,289,24.083333333333332,6,87,2022-08-26T12:47:20Z,2022-08-31T21:53:45Z,TRUE,TRUE,TRUE,Low represented coverage
2022-09,2632,219.33333333333334,30,517,2022-09-01T03:28:00Z,2022-09-30T21:35:41Z,FALSE,FALSE,FALSE,Higher represented coverage
2022-10,2593,216.08333333333334,31,517,2022-10-01T03:55:15Z,2022-10-31T23:22:29Z,FALSE,FALSE,FALSE,Higher represented coverage
2022-11,2153,179.41666666666666,30,485,2022-11-01T00:12:52Z,2022-11-30T20:17:30Z,FALSE,FALSE,FALSE,Higher represented coverage
2022-12,822,68.5,23,218,2022-12-01T02:06:55Z,2022-12-31T02:44:08Z,FALSE,FALSE,FALSE,Higher represented coverage
2023-01,949,79.08333333333333,26,251,2023-01-01T11:18:30Z,2023-01-31T22:03:51Z,FALSE,FALSE,FALSE,Higher represented coverage
2023-02,2102,175.16666666666666,28,382,2023-02-01T03:22:56Z,2023-02-28T17:10:09Z,FALSE,FALSE,FALSE,Higher represented coverage
2023-03,3136,261.3333333333333,31,475,2023-03-01T01:03:56Z,2023-03-31T22:12:46Z,FALSE,FALSE,FALSE,Higher represented coverage
2023-04,3100,258.3333333333333,30,485,2023-04-01T00:23:49Z,2023-04-30T19:39:09Z,FALSE,FALSE,FALSE,Higher represented coverage
2023-05,4017,334.75,31,565,2023-05-01T03:44:36Z,2023-05-31T19:36:13Z,FALSE,FALSE,FALSE,Higher represented coverage
2023-06,3850,320.8333333333333,30,563,2023-06-01T03:31:35Z,2023-06-30T23:35:34Z,FALSE,FALSE,FALSE,Higher represented coverage
2023-07,1416,118,31,454,2023-07-01T03:00:24Z,2023-07-31T23:03:38Z,FALSE,FALSE,FALSE,Higher represented coverage
2023-08,156,13,6,75,2023-08-01T04:02:41Z,2023-08-06T23:57:40Z,TRUE,TRUE,TRUE,Low represented coverage
2023-10,501,41.75,15,191,2023-10-17T14:29:34Z,2023-10-31T18:35:02Z,FALSE,TRUE,TRUE,Low represented coverage
2023-11,379,31.583333333333332,23,197,2023-11-01T07:07:37Z,2023-11-29T18:08:43Z,TRUE,FALSE,TRUE,Low represented coverage
2023-12,188,15.666666666666666,22,103,2023-12-05T12:29:27Z,2023-12-31T23:58:33Z,TRUE,FALSE,TRUE,Low represented coverage
2024-01,278,23.166666666666668,20,117,2024-01-01T00:03:36Z,2024-01-31T22:14:05Z,TRUE,FALSE,TRUE,Low represented coverage
2024-02,1158,96.5,29,342,2024-02-01T04:43:45Z,2024-02-29T21:48:16Z,FALSE,FALSE,FALSE,Higher represented coverage
2024-03,2582,215.16666666666666,31,482,2024-03-01T04:44:34Z,2024-03-31T18:10:05Z,FALSE,FALSE,FALSE,Higher represented coverage
2024-04,1715,142.91666666666666,17,287,2024-04-01T04:43:14Z,2024-04-17T12:48:05Z,FALSE,TRUE,TRUE,Low represented coverage
