method,method_label,weighting,q,q_label,component,component_label,estimate,lower_95,upper_95,high_reference,high_reference_lower,high_reference_upper,absolute_difference,percentage_difference,month_set
Primary_M3,Primary M3: species-aware,equal_month,0,q = 0: Richness,alpha,Alpha,59.92857142857142,55.07142857142857,65.5,59.92857142857142,55.07142857142857,65.5,0,0,Higher represented coverage
Primary_M3,Primary M3: species-aware,equal_month,0,q = 0: Richness,beta,Beta,2.538105049777618,2.3827351218008017,2.693396335535409,2.538105049777618,2.3827351218008017,2.693396335535409,0,0,Higher represented coverage
Primary_M3,Primary M3: species-aware,equal_month,0,q = 0: Richness,gamma,Gamma,152,140,164.6583333333333,152,140,164.6583333333333,0,0,Higher represented coverage
Primary_M3,Primary M3: species-aware,equal_month,1,q = 1: Exponential Shannon,alpha,Alpha,7.983176472755789,7.356628367473946,8.570098375052298,7.983176472755789,7.356628367473946,8.570098375052298,0,0,Higher represented coverage
Primary_M3,Primary M3: species-aware,equal_month,1,q = 1: Exponential Shannon,beta,Beta,1.5161126495950117,1.504678249225814,1.5278508659822925,1.5161126495950117,1.504678249225814,1.5278508659822925,0,0,Higher represented coverage
Primary_M3,Primary M3: species-aware,equal_month,1,q = 1: Exponential Shannon,gamma,Gamma,12.100075890405058,11.15158123366408,12.989077411079851,12.100075890405058,11.15158123366408,12.989077411079851,0,0,Higher represented coverage
Primary_M3,Primary M3: species-aware,equal_month,2,q = 2: Inverse Simpson,alpha,Alpha,4.180177284055988,3.92193030765939,4.4335107291833316,4.180177284055988,3.92193030765939,4.4335107291833316,0,0,Higher represented coverage
Primary_M3,Primary M3: species-aware,equal_month,2,q = 2: Inverse Simpson,beta,Beta,1.5839922953907202,1.5546389773927174,1.6060663786261813,1.5839922953907202,1.5546389773927174,1.6060663786261813,0,0,Higher represented coverage
Primary_M3,Primary M3: species-aware,equal_month,2,q = 2: Inverse Simpson,gamma,Gamma,6.624578408637255,6.213216628936385,7.009089299268175,6.624578408637255,6.213216628936385,7.009089299268175,0,0,Higher represented coverage
Naive,Naive: all candidates,equal_month,0,q = 0: Richness,alpha,Alpha,96.92857142857142,96.92857142857142,96.92857142857142,59.92857142857142,55.07142857142857,65.5,36.99999999999999,61.74016686531585,Higher represented coverage
Naive,Naive: all candidates,equal_month,0,q = 0: Richness,gamma,Gamma,224,224,224,152,140,164.6583333333333,72,47.36842105263157,Higher represented coverage
Naive,Naive: all candidates,equal_month,0,q = 0: Richness,beta,Beta,2.3109801031687547,2.3109801031687547,2.3109801031687547,2.538105049777618,2.3827351218008017,2.693396335535409,-0.22712494660886318,-8.948603078062634,Higher represented coverage
Naive,Naive: all candidates,equal_month,1,q = 1: Exponential Shannon,alpha,Alpha,12.735596362612474,12.735596362612474,12.735596362612474,7.983176472755789,7.356628367473946,8.570098375052298,4.752419889856686,59.53043761559429,Higher represented coverage
Naive,Naive: all candidates,equal_month,1,q = 1: Exponential Shannon,gamma,Gamma,19.393418770378045,19.393418770378045,19.393418770378045,12.100075890405058,11.15158123366408,12.989077411079851,7.293342879972986,60.27518294952476,Higher represented coverage
Naive,Naive: all candidates,equal_month,1,q = 1: Exponential Shannon,beta,Beta,1.522772724433286,1.522772724433286,1.522772724433286,1.5161126495950117,1.504678249225814,1.5278508659822925,0.006660074838274355,0.43928627863196734,Higher represented coverage
Naive,Naive: all candidates,equal_month,2,q = 2: Inverse Simpson,alpha,Alpha,5.682358707716907,5.682358707716907,5.682358707716907,4.180177284055988,3.92193030765939,4.4335107291833316,1.502181423660919,35.93583050629292,Higher represented coverage
Naive,Naive: all candidates,equal_month,2,q = 2: Inverse Simpson,gamma,Gamma,9.04468794956097,9.04468794956097,9.04468794956097,6.624578408637255,6.213216628936385,7.009089299268175,2.4201095409237148,36.532280118661276,Higher represented coverage
Naive,Naive: all candidates,equal_month,2,q = 2: Inverse Simpson,beta,Beta,1.591713655330816,1.591713655330816,1.591713655330816,1.5839922953907202,1.5546389773927174,1.6060663786261813,0.007721359940095818,0.4874619632029953,Higher represented coverage
Hard_top1,Hard top-1,equal_month,0,q = 0: Richness,alpha,Alpha,95.28571428571428,95.28571428571428,95.28571428571428,59.92857142857142,55.07142857142857,65.5,35.357142857142854,58.99880810488678,Higher represented coverage
Hard_top1,Hard top-1,equal_month,0,q = 0: Richness,gamma,Gamma,220,220,220,152,140,164.6583333333333,68,44.736842105263165,Higher represented coverage
Hard_top1,Hard top-1,equal_month,0,q = 0: Richness,beta,Beta,2.3088455772113945,2.3088455772113945,2.3088455772113945,2.538105049777618,2.3827351218008017,2.693396335535409,-0.22925947256622337,-9.03270227472699,Higher represented coverage
Hard_top1,Hard top-1,equal_month,1,q = 1: Exponential Shannon,alpha,Alpha,12.274720944176718,12.274720944176718,12.274720944176718,7.983176472755789,7.356628367473946,8.570098375052298,4.291544471420929,53.75735443237033,Higher represented coverage
Hard_top1,Hard top-1,equal_month,1,q = 1: Exponential Shannon,gamma,Gamma,18.726151268155657,18.726151268155657,18.726151268155657,12.100075890405058,11.15158123366408,12.989077411079851,6.626075377750599,54.760610080180136,Higher represented coverage
Hard_top1,Hard top-1,equal_month,1,q = 1: Exponential Shannon,beta,Beta,1.5255867203269968,1.5255867203269968,1.5255867203269968,1.5161126495950117,1.504678249225814,1.5278508659822925,0.00947407073198514,0.6248922686922898,Higher represented coverage
Hard_top1,Hard top-1,equal_month,2,q = 2: Inverse Simpson,alpha,Alpha,5.513676355568866,5.513676355568866,5.513676355568866,4.180177284055988,3.92193030765939,4.4335107291833316,1.333499071512878,31.90053868287126,Higher represented coverage
Hard_top1,Hard top-1,equal_month,2,q = 2: Inverse Simpson,gamma,Gamma,8.781416662419874,8.781416662419874,8.781416662419874,6.624578408637255,6.213216628936385,7.009089299268175,2.1568382537826185,32.5581209963564,Higher represented coverage
Hard_top1,Hard top-1,equal_month,2,q = 2: Inverse Simpson,beta,Beta,1.5926608847018302,1.5926608847018302,1.5926608847018302,1.5839922953907202,1.5546389773927174,1.6060663786261813,0.008668589311110031,0.5472620881007417,Higher represented coverage
Threshold_0.50,Threshold >= 0.50,equal_month,0,q = 0: Richness,alpha,Alpha,85.78571428571428,85.78571428571428,85.78571428571428,59.92857142857142,55.07142857142857,65.5,25.857142857142854,43.14660309892729,Higher represented coverage
Threshold_0.50,Threshold >= 0.50,equal_month,0,q = 0: Richness,gamma,Gamma,209,209,209,152,140,164.6583333333333,57,37.5,Higher represented coverage
Threshold_0.50,Threshold >= 0.50,equal_month,0,q = 0: Richness,beta,Beta,2.4363030807660286,2.4363030807660286,2.4363030807660286,2.538105049777618,2.3827351218008017,2.693396335535409,-0.10180196901158922,-4.010943874072859,Higher represented coverage
Threshold_0.50,Threshold >= 0.50,equal_month,1,q = 1: Exponential Shannon,alpha,Alpha,11.443128822199643,11.443128822199643,11.443128822199643,7.983176472755789,7.356628367473946,8.570098375052298,3.4599523494438547,43.340546977154325,Higher represented coverage
Threshold_0.50,Threshold >= 0.50,equal_month,1,q = 1: Exponential Shannon,gamma,Gamma,17.577824949594323,17.577824949594323,17.577824949594323,12.100075890405058,11.15158123366408,12.989077411079851,5.477749059189264,45.270369448946425,Higher represented coverage
Threshold_0.50,Threshold >= 0.50,equal_month,1,q = 1: Exponential Shannon,beta,Beta,1.536103038138781,1.536103038138781,1.536103038138781,1.5161126495950117,1.504678249225814,1.5278508659822925,0.019990388543769333,1.318529236538546,Higher represented coverage
Threshold_0.50,Threshold >= 0.50,equal_month,2,q = 2: Inverse Simpson,alpha,Alpha,5.2785780399131514,5.2785780399131514,5.2785780399131514,4.180177284055988,3.92193030765939,4.4335107291833316,1.0984007558571633,26.276415597172843,Higher represented coverage
Threshold_0.50,Threshold >= 0.50,equal_month,2,q = 2: Inverse Simpson,gamma,Gamma,8.383216626651347,8.383216626651347,8.383216626651347,6.624578408637255,6.213216628936385,7.009089299268175,1.7586382180140916,26.547171903364376,Higher represented coverage
Threshold_0.50,Threshold >= 0.50,equal_month,2,q = 2: Inverse Simpson,beta,Beta,1.5881581295687874,1.5881581295687874,1.5881581295687874,1.5839922953907202,1.5546389773927174,1.6060663786261813,0.0041658341780672625,0.2629958611660932,Higher represented coverage
