method,method_label,q,q_label,component,component_label,all_estimate,all_reference,all_absolute_difference,all_percentage_difference,high_estimate,high_reference,high_absolute_difference,high_percentage_difference,all_direction,high_direction,direction_stable,absolute_bias_change_points
Naive,Naive: all candidates,0,q = 0: Richness,alpha,Alpha,79.08695652173913,49.130434782608695,29.95652173913043,60.973451327433615,96.92857142857142,59.92857142857142,36.99999999999999,61.74016686531585,1,1,TRUE,0.7667155378822343
Naive,Naive: all candidates,0,q = 0: Richness,gamma,Gamma,229,158,71,44.93670886075949,224,152,72,47.36842105263157,1,1,TRUE,2.43171219187208
Naive,Naive: all candidates,0,q = 0: Richness,beta,Beta,2.8955470038482685,3.2185688753317576,-0.32302187148348915,-10.036195712922048,2.3109801031687547,2.538105049777618,-0.22712494660886318,-8.948603078062634,-1,-1,TRUE,1.0875926348594138
Naive,Naive: all candidates,1,q = 1: Exponential Shannon,alpha,Alpha,14.17018038339599,8.795475448530865,5.374704934865125,61.107611138439125,12.735596362612474,7.983176472755789,4.752419889856686,59.53043761559429,1,1,TRUE,1.5771735228448378
Naive,Naive: all candidates,1,q = 1: Exponential Shannon,gamma,Gamma,24.471954200303742,14.804727208050327,9.667226992253415,65.2982446511861,19.393418770378045,12.100075890405058,7.293342879972986,60.27518294952476,1,1,TRUE,5.023061701661334
Naive,Naive: all candidates,1,q = 1: Exponential Shannon,beta,Beta,1.7270037175376347,1.6834620768367494,0.04354164070088529,2.5864343070145512,1.522772724433286,1.5161126495950117,0.006660074838274355,0.43928627863196734,1,1,TRUE,2.147148028382584
Naive,Naive: all candidates,2,q = 2: Inverse Simpson,alpha,Alpha,6.5891364077847605,4.711306722583864,1.8778296852008962,39.85793742104357,5.682358707716907,4.180177284055988,1.502181423660919,35.93583050629292,1,1,TRUE,3.9221069147506498
Naive,Naive: all candidates,2,q = 2: Inverse Simpson,gamma,Gamma,11.648800712381304,8.173918140714456,3.474882571666848,42.511834738818656,9.04468794956097,6.624578408637255,2.4201095409237148,36.532280118661276,1,1,TRUE,5.97955462015738
Naive,Naive: all candidates,2,q = 2: Inverse Simpson,beta,Beta,1.7678797328613176,1.7333042293693333,0.03457550349198435,1.9947740798258229,1.591713655330816,1.5839922953907202,0.007721359940095818,0.4874619632029953,1,1,TRUE,1.5073121166228276
Hard_top1,Hard top-1,0,q = 0: Richness,alpha,Alpha,77.78260869565217,49.130434782608695,28.652173913043477,58.31858407079646,95.28571428571428,59.92857142857142,35.357142857142854,58.99880810488678,1,1,TRUE,0.6802240340903154
Hard_top1,Hard top-1,0,q = 0: Richness,gamma,Gamma,226,158,68,43.03797468354431,220,152,68,44.736842105263165,1,1,TRUE,1.6988674217188517
Hard_top1,Hard top-1,0,q = 0: Richness,beta,Beta,2.9055338177752934,3.2185688753317576,-0.3130350575564642,-9.725908305261843,2.3088455772113945,2.538105049777618,-0.22925947256622337,-9.03270227472699,-1,-1,TRUE,0.6932060305348529
Hard_top1,Hard top-1,1,q = 1: Exponential Shannon,alpha,Alpha,13.681239223543969,8.795475448530865,4.885763775013103,55.548603410963835,12.274720944176718,7.983176472755789,4.291544471420929,53.75735443237033,1,1,TRUE,1.791248978593508
Hard_top1,Hard top-1,1,q = 1: Exponential Shannon,gamma,Gamma,23.602452978527932,14.804727208050327,8.797725770477605,59.42511230935541,18.726151268155657,12.100075890405058,6.626075377750599,54.760610080180136,1,1,TRUE,4.664502229175277
Hard_top1,Hard top-1,1,q = 1: Exponential Shannon,beta,Beta,1.725169233055336,1.6834620768367494,0.04170715621858667,2.4774633650765043,1.5255867203269968,1.5161126495950117,0.00947407073198514,0.6248922686922898,1,1,TRUE,1.8525710963842146
Hard_top1,Hard top-1,2,q = 2: Inverse Simpson,alpha,Alpha,6.381189997324206,4.711306722583864,1.669883274740342,35.44416386086009,5.513676355568866,4.180177284055988,1.333499071512878,31.90053868287126,1,1,TRUE,3.543625177988826
Hard_top1,Hard top-1,2,q = 2: Inverse Simpson,gamma,Gamma,11.27861192926676,8.173918140714456,3.1046937885523036,37.98293223769589,8.781416662419874,6.624578408637255,2.1568382537826185,32.5581209963564,1,1,TRUE,5.424811241339491
Hard_top1,Hard top-1,2,q = 2: Inverse Simpson,beta,Beta,1.7674778425334718,1.7333042293693333,0.03417361316413858,1.9715877100566992,1.5926608847018302,1.5839922953907202,0.008668589311110031,0.5472620881007417,1,1,TRUE,1.4243256219559575
Threshold_0.50,Threshold >= 0.50,0,q = 0: Richness,alpha,Alpha,70,49.130434782608695,20.869565217391305,42.47787610619469,85.78571428571428,59.92857142857142,25.857142857142854,43.14660309892729,1,1,TRUE,0.6687269927325943
Threshold_0.50,Threshold >= 0.50,0,q = 0: Richness,gamma,Gamma,217,158,59,37.34177215189873,209,152,57,37.5,1,1,TRUE,0.15822784810126933
Threshold_0.50,Threshold >= 0.50,0,q = 0: Richness,beta,Beta,3.1,3.2185688753317576,-0.11856887533175753,-3.6839005136882763,2.4363030807660286,2.538105049777618,-0.10180196901158922,-4.010943874072859,-1,-1,TRUE,0.32704336038458237
Threshold_0.50,Threshold >= 0.50,1,q = 1: Exponential Shannon,alpha,Alpha,12.651658369033935,8.795475448530865,3.8561829205030698,43.842802393896505,11.443128822199643,7.983176472755789,3.4599523494438547,43.340546977154325,1,1,TRUE,0.5022554167421802
Threshold_0.50,Threshold >= 0.50,1,q = 1: Exponential Shannon,gamma,Gamma,22.02162973169414,14.804727208050327,7.216902523643814,48.74728471673222,17.577824949594323,12.100075890405058,5.477749059189264,45.270369448946425,1,1,TRUE,3.4769152677857917
Threshold_0.50,Threshold >= 0.50,1,q = 1: Exponential Shannon,beta,Beta,1.7406121070731762,1.6834620768367494,0.05715003023642673,3.394791663131036,1.536103038138781,1.5161126495950117,0.019990388543769333,1.318529236538546,1,1,TRUE,2.07626242659249
Threshold_0.50,Threshold >= 0.50,2,q = 2: Inverse Simpson,alpha,Alpha,6.039089272392237,4.711306722583864,1.327782549808373,28.182893366793273,5.2785780399131514,4.180177284055988,1.0984007558571633,26.276415597172843,1,1,TRUE,1.9064777696204303
Threshold_0.50,Threshold >= 0.50,2,q = 2: Inverse Simpson,gamma,Gamma,10.658927047155771,8.173918140714456,2.4850089064413154,30.401685748031106,8.383216626651347,6.624578408637255,1.7586382180140916,26.547171903364376,1,1,TRUE,3.85451384466673
Threshold_0.50,Threshold >= 0.50,2,q = 2: Inverse Simpson,beta,Beta,1.7649891509110773,1.7333042293693333,0.03168492154174407,1.8280069363975748,1.5881581295687874,1.5839922953907202,0.0041658341780672625,0.2629958611660932,1,1,TRUE,1.5650110752314816
Threshold_0.70,Threshold >= 0.70,0,q = 0: Richness,alpha,Alpha,40.78260869565217,49.130434782608695,-8.347826086956523,-16.991150442477874,50.64285714285714,59.92857142857142,-9.285714285714285,-15.494636471990464,-1,-1,TRUE,1.4965139704874098
Threshold_0.70,Threshold >= 0.70,0,q = 0: Richness,gamma,Gamma,148,158,-10,-6.329113924050633,145,152,-7,-4.6052631578947345,-1,-1,TRUE,1.7238507661558984
Threshold_0.70,Threshold >= 0.70,0,q = 0: Richness,beta,Beta,3.628997867803838,3.2185688753317576,0.41042899247208053,12.751909571292774,2.8631875881523277,2.538105049777618,0.3250825383747098,12.808080516730103,1,1,TRUE,0.05617094543732826
Threshold_0.70,Threshold >= 0.70,1,q = 1: Exponential Shannon,alpha,Alpha,8.030046100999298,8.795475448530865,-0.7654293475315672,-8.70253520700145,7.476907218698258,7.983176472755789,-0.5062692540575302,-6.341701900055408,-1,-1,TRUE,2.3608333069460423
Threshold_0.70,Threshold >= 0.70,1,q = 1: Exponential Shannon,gamma,Gamma,14.284051230568721,14.804727208050327,-0.5206759774816057,-3.5169575917513685,11.775603237039466,12.100075890405058,-0.32447265336559283,-2.6815753579106705,-1,-1,TRUE,0.835382233840698
Threshold_0.70,Threshold >= 0.70,1,q = 1: Exponential Shannon,beta,Beta,1.778825557276831,1.6834620768367494,0.09536348044008158,5.6647240084713335,1.5749296992198891,1.5161126495950117,0.05881704962487744,3.8794643419530095,1,1,TRUE,1.785259666518324
Threshold_0.70,Threshold >= 0.70,2,q = 2: Inverse Simpson,alpha,Alpha,4.3021499308221,4.711306722583864,-0.409156791761764,-8.684571305885314,3.8717824300411636,4.180177284055988,-0.30839485401482447,-7.37755442074437,-1,-1,TRUE,1.3070168851409436
Threshold_0.70,Threshold >= 0.70,2,q = 2: Inverse Simpson,gamma,Gamma,7.61991842561421,8.173918140714456,-0.5539997151002458,-6.777651862461919,6.189771338328913,6.624578408637255,-0.4348070703083424,-6.56354327003561,-1,-1,TRUE,0.2141085924263093
Threshold_0.70,Threshold >= 0.70,2,q = 2: Inverse Simpson,beta,Beta,1.7711884867197354,1.7333042293693333,0.03788425735040213,2.1856669307376286,1.5986878008181635,1.5839922953907202,0.014695505427443356,0.9277510673635136,1,1,TRUE,1.257915863374115
Threshold_0.90,Threshold >= 0.90,0,q = 0: Richness,alpha,Alpha,16.434782608695652,49.130434782608695,-32.69565217391305,-66.54867256637168,20.857142857142854,59.92857142857142,-39.07142857142857,-65.19666269368297,-1,-1,TRUE,1.3520098726887113
Threshold_0.90,Threshold >= 0.90,0,q = 0: Richness,gamma,Gamma,65,158,-93,-58.86075949367089,58,152,-94,-61.8421052631579,-1,-1,TRUE,2.9813457694870067
Threshold_0.90,Threshold >= 0.90,0,q = 0: Richness,beta,Beta,3.955026455026455,3.2185688753317576,0.7364575796946973,22.881523068813813,2.7808219178082196,2.538105049777618,0.24271686803060177,9.562916556659772,1,1,TRUE,13.318606512154041
Threshold_0.90,Threshold >= 0.90,1,q = 1: Exponential Shannon,alpha,Alpha,4.485246734097785,8.795475448530865,-4.31022871443308,-49.005067885818846,4.507289201136776,7.983176472755789,-3.475887271619013,-43.54015326457061,-1,-1,TRUE,5.464914621248234
Threshold_0.90,Threshold >= 0.90,1,q = 1: Exponential Shannon,gamma,Gamma,8.591339654993858,14.804727208050327,-6.213387553056469,-41.96894320131634,7.527808761701567,12.100075890405058,-4.5722671287034915,-37.78709464400253,-1,-1,TRUE,4.181848557313813
Threshold_0.90,Threshold >= 0.90,1,q = 1: Exponential Shannon,beta,Beta,1.9154664535354753,1.6834620768367494,0.23200437669872587,13.781384201696167,1.6701410594649642,1.5161126495950117,0.15402840986995248,10.159430429598814,1,1,TRUE,3.6219537720973527
Threshold_0.90,Threshold >= 0.90,2,q = 2: Inverse Simpson,alpha,Alpha,2.8591415275843657,4.711306722583864,-1.8521651949994986,-39.31319491726276,2.7106772727799346,4.180177284055988,-1.4695000112760535,-35.15401169421721,-1,-1,TRUE,4.159183223045552
Threshold_0.90,Threshold >= 0.90,2,q = 2: Inverse Simpson,gamma,Gamma,5.539681166620365,8.173918140714456,-2.6342369740940903,-32.22734713934682,4.570387449172221,6.624578408637255,-2.054190959465034,-31.00862927045651,-1,-1,TRUE,1.2187178688903089
Threshold_0.90,Threshold >= 0.90,2,q = 2: Inverse Simpson,beta,Beta,1.937533036813584,1.7333042293693333,0.20422880744425065,11.782629037867153,1.6860684578968934,1.5839922953907202,0.10207616250617324,6.4442335233072745,1,1,TRUE,5.3383955145598785
