method,weighting,q,q_label,component,component_label,estimate,lower_95,upper_95,n_months_used,method_label,method_class,result_type,reference_estimate,reference_lower_95,reference_upper_95,absolute_difference,percentage_difference
Primary_M2,equal_month,0,q = 0: Richness,alpha,Alpha,58.826086956521735,56.927898550724635,60.724275362318835,NA,Primary M2: pooled,Probability sensitivity,Monte Carlo,49.130434782608695,45.17391304347826,53.565217391304344,9.69565217391304,19.734513274336287
Primary_M2,equal_month,0,q = 0: Richness,beta,Beta,3.2845238095238094,3.1578267464764913,3.4184455443556483,NA,Primary M2: pooled,Probability sensitivity,Monte Carlo,3.2185688753317576,3.007559591905509,3.4208988009161088,0.06595493419205178,2.0492006462112355
Primary_M2,equal_month,0,q = 0: Richness,gamma,Gamma,193,185,202,NA,Primary M2: pooled,Probability sensitivity,Monte Carlo,158,146,171,35,22.151898734177223
Primary_M2,equal_month,1,q = 1: Exponential Shannon,alpha,Alpha,11.18790442138537,10.845507303518636,11.515677536905628,NA,Primary M2: pooled,Probability sensitivity,Monte Carlo,8.795475448530865,8.089267838051015,9.46152788985623,2.392428972854505,27.200678199313487
Primary_M2,equal_month,1,q = 1: Exponential Shannon,beta,Beta,1.7725531200514952,1.752410678956302,1.7945658468838324,NA,Primary M2: pooled,Probability sensitivity,Monte Carlo,1.6834620768367494,1.6657846292562202,1.7028213091096434,0.08909104321474581,5.292132471564148
Primary_M2,equal_month,1,q = 1: Exponential Shannon,gamma,Gamma,19.839855217451877,19.232473763266505,20.429902574749804,NA,Primary M2: pooled,Probability sensitivity,Monte Carlo,14.804727208050329,13.551244329964062,15.991237675223896,5.03512800940155,34.01027211540657
Primary_M2,equal_month,2,q = 2: Inverse Simpson,alpha,Alpha,5.438649548949653,5.308884390660818,5.5751992940959925,NA,Primary M2: pooled,Probability sensitivity,Monte Carlo,4.711306722583864,4.414582779570715,5.004672524773394,0.7273428263657884,15.438239732497935
Primary_M2,equal_month,2,q = 2: Inverse Simpson,beta,Beta,1.7748317360051304,1.7528062490057563,1.7967875716008723,NA,Primary M2: pooled,Probability sensitivity,Monte Carlo,1.7333042293693333,1.7104691757222477,1.7610049975805646,0.04152750663579718,2.3958579187744355
Primary_M2,equal_month,2,q = 2: Inverse Simpson,gamma,Gamma,9.653199044999448,9.414028232718277,9.893507918567416,NA,Primary M2: pooled,Probability sensitivity,Monte Carlo,8.173918140714456,7.652672076004251,8.709989254362242,1.4792809042849928,18.097574245534265
Audio_only,equal_month,0,q = 0: Richness,alpha,Alpha,54.21739130434783,50.65217391304348,57.826086956521735,NA,Audio-only sensitivity,Probability sensitivity,Monte Carlo,49.130434782608695,45.17391304347826,53.565217391304344,5.086956521739133,10.353982300884956
Audio_only,equal_month,0,q = 0: Richness,beta,Beta,3.156862745098039,2.9795615844252143,3.3366321862907684,NA,Audio-only sensitivity,Probability sensitivity,Monte Carlo,3.2185688753317576,3.007559591905509,3.4208988009161088,-0.06170613023371851,-1.917191541453589
Audio_only,equal_month,0,q = 0: Richness,gamma,Gamma,172,160,183,NA,Audio-only sensitivity,Probability sensitivity,Monte Carlo,158,146,171,14,8.860759493670889
Audio_only,equal_month,1,q = 1: Exponential Shannon,alpha,Alpha,9.456627154380143,8.7775924969819,10.122691570330076,NA,Audio-only sensitivity,Probability sensitivity,Monte Carlo,8.795475448530865,8.089267838051015,9.46152788985623,0.6611517058492797,7.516952434444168
Audio_only,equal_month,1,q = 1: Exponential Shannon,beta,Beta,1.6985835309276975,1.682686897960726,1.717895747778908,NA,Audio-only sensitivity,Probability sensitivity,Monte Carlo,1.6834620768367494,1.6657846292562202,1.7028213091096434,0.01512145409094811,0.8982355052132629
Audio_only,equal_month,1,q = 1: Exponential Shannon,gamma,Gamma,16.07445156732285,14.916256388055755,17.23889104043403,NA,Audio-only sensitivity,Probability sensitivity,Monte Carlo,14.804727208050329,13.551244329964062,15.991237675223896,1.269724359272523,8.576479265231507
Audio_only,equal_month,2,q = 2: Inverse Simpson,alpha,Alpha,4.896394403046523,4.601190784991196,5.203970965313622,NA,Audio-only sensitivity,Probability sensitivity,Monte Carlo,4.711306722583864,4.414582779570715,5.004672524773394,0.1850876804626589,3.928584814387759
Audio_only,equal_month,2,q = 2: Inverse Simpson,beta,Beta,1.7344951392239103,1.7129216854063394,1.761903035356081,NA,Audio-only sensitivity,Probability sensitivity,Monte Carlo,1.7333042293693333,1.7104691757222477,1.7610049975805646,0.00119090985457726,0.06870749141427712
Audio_only,equal_month,2,q = 2: Inverse Simpson,gamma,Gamma,8.500701280802447,7.962635152814553,9.048533473724074,NA,Audio-only sensitivity,Probability sensitivity,Monte Carlo,8.173918140714456,7.652672076004251,8.709989254362242,0.3267831400879917,3.997876348434159
Naive,equal_month,0,q = 0: Richness,alpha,Alpha,79.08695652173913,79.08695652173913,79.08695652173913,23,Naive: all candidates,Deterministic,Point estimate,49.130434782608695,45.17391304347826,53.565217391304344,29.95652173913043,60.973451327433615
Naive,equal_month,0,q = 0: Richness,beta,Beta,2.8955470038482685,2.8955470038482685,2.8955470038482685,23,Naive: all candidates,Deterministic,Point estimate,3.2185688753317576,3.007559591905509,3.4208988009161088,-0.32302187148348915,-10.036195712922048
Naive,equal_month,0,q = 0: Richness,gamma,Gamma,229,229,229,23,Naive: all candidates,Deterministic,Point estimate,158,146,171,71,44.93670886075949
Naive,equal_month,1,q = 1: Exponential Shannon,alpha,Alpha,14.17018038339599,14.17018038339599,14.17018038339599,23,Naive: all candidates,Deterministic,Point estimate,8.795475448530865,8.089267838051015,9.46152788985623,5.374704934865125,61.107611138439125
Naive,equal_month,1,q = 1: Exponential Shannon,beta,Beta,1.7270037175376347,1.7270037175376347,1.7270037175376347,23,Naive: all candidates,Deterministic,Point estimate,1.6834620768367494,1.6657846292562202,1.7028213091096434,0.04354164070088529,2.5864343070145512
Naive,equal_month,1,q = 1: Exponential Shannon,gamma,Gamma,24.471954200303745,24.471954200303745,24.471954200303745,23,Naive: all candidates,Deterministic,Point estimate,14.804727208050329,13.551244329964062,15.991237675223896,9.667226992253417,65.2982446511861
Naive,equal_month,2,q = 2: Inverse Simpson,alpha,Alpha,6.5891364077847605,6.5891364077847605,6.5891364077847605,23,Naive: all candidates,Deterministic,Point estimate,4.711306722583864,4.414582779570715,5.004672524773394,1.877829685200896,39.85793742104357
Naive,equal_month,2,q = 2: Inverse Simpson,beta,Beta,1.7678797328613176,1.7678797328613176,1.7678797328613176,23,Naive: all candidates,Deterministic,Point estimate,1.7333042293693333,1.7104691757222477,1.7610049975805646,0.03457550349198435,1.9947740798258229
Naive,equal_month,2,q = 2: Inverse Simpson,gamma,Gamma,11.648800712381304,11.648800712381304,11.648800712381304,23,Naive: all candidates,Deterministic,Point estimate,8.173918140714456,7.652672076004251,8.709989254362242,3.474882571666848,42.511834738818656
Hard_top1,equal_month,0,q = 0: Richness,alpha,Alpha,77.78260869565217,77.78260869565217,77.78260869565217,23,Hard top-1,Deterministic,Point estimate,49.130434782608695,45.17391304347826,53.565217391304344,28.652173913043477,58.31858407079646
Hard_top1,equal_month,0,q = 0: Richness,beta,Beta,2.9055338177752934,2.9055338177752934,2.9055338177752934,23,Hard top-1,Deterministic,Point estimate,3.2185688753317576,3.007559591905509,3.4208988009161088,-0.3130350575564642,-9.725908305261845
Hard_top1,equal_month,0,q = 0: Richness,gamma,Gamma,226,226,226,23,Hard top-1,Deterministic,Point estimate,158,146,171,68,43.03797468354431
Hard_top1,equal_month,1,q = 1: Exponential Shannon,alpha,Alpha,13.681239223543969,13.681239223543969,13.681239223543969,23,Hard top-1,Deterministic,Point estimate,8.795475448530865,8.089267838051015,9.46152788985623,4.885763775013103,55.548603410963835
Hard_top1,equal_month,1,q = 1: Exponential Shannon,beta,Beta,1.725169233055336,1.725169233055336,1.725169233055336,23,Hard top-1,Deterministic,Point estimate,1.6834620768367494,1.6657846292562202,1.7028213091096434,0.04170715621858667,2.4774633650765043
Hard_top1,equal_month,1,q = 1: Exponential Shannon,gamma,Gamma,23.602452978527932,23.602452978527932,23.602452978527932,23,Hard top-1,Deterministic,Point estimate,14.804727208050329,13.551244329964062,15.991237675223896,8.797725770477605,59.42511230935541
Hard_top1,equal_month,2,q = 2: Inverse Simpson,alpha,Alpha,6.381189997324206,6.381189997324206,6.381189997324206,23,Hard top-1,Deterministic,Point estimate,4.711306722583864,4.414582779570715,5.004672524773394,1.669883274740342,35.44416386086009
Hard_top1,equal_month,2,q = 2: Inverse Simpson,beta,Beta,1.7674778425334718,1.7674778425334718,1.7674778425334718,23,Hard top-1,Deterministic,Point estimate,1.7333042293693333,1.7104691757222477,1.7610049975805646,0.03417361316413858,1.9715877100566992
Hard_top1,equal_month,2,q = 2: Inverse Simpson,gamma,Gamma,11.27861192926676,11.27861192926676,11.27861192926676,23,Hard top-1,Deterministic,Point estimate,8.173918140714456,7.652672076004251,8.709989254362242,3.1046937885523036,37.98293223769589
Threshold_0.50,equal_month,0,q = 0: Richness,alpha,Alpha,70,70,70,23,Threshold >= 0.50,Deterministic,Point estimate,49.130434782608695,45.17391304347826,53.565217391304344,20.869565217391305,42.47787610619469
Threshold_0.50,equal_month,0,q = 0: Richness,beta,Beta,3.1,3.1,3.1,23,Threshold >= 0.50,Deterministic,Point estimate,3.2185688753317576,3.007559591905509,3.4208988009161088,-0.11856887533175751,-3.683900513688276
Threshold_0.50,equal_month,0,q = 0: Richness,gamma,Gamma,217,217,217,23,Threshold >= 0.50,Deterministic,Point estimate,158,146,171,59,37.34177215189873
Threshold_0.50,equal_month,1,q = 1: Exponential Shannon,alpha,Alpha,12.651658369033935,12.651658369033935,12.651658369033935,23,Threshold >= 0.50,Deterministic,Point estimate,8.795475448530865,8.089267838051015,9.46152788985623,3.8561829205030698,43.842802393896505
Threshold_0.50,equal_month,1,q = 1: Exponential Shannon,beta,Beta,1.7406121070731762,1.7406121070731762,1.7406121070731762,23,Threshold >= 0.50,Deterministic,Point estimate,1.6834620768367494,1.6657846292562202,1.7028213091096434,0.05715003023642673,3.394791663131036
Threshold_0.50,equal_month,1,q = 1: Exponential Shannon,gamma,Gamma,22.02162973169414,22.02162973169414,22.02162973169414,23,Threshold >= 0.50,Deterministic,Point estimate,14.804727208050329,13.551244329964062,15.991237675223896,7.216902523643814,48.74728471673222
Threshold_0.50,equal_month,2,q = 2: Inverse Simpson,alpha,Alpha,6.039089272392237,6.039089272392237,6.039089272392237,23,Threshold >= 0.50,Deterministic,Point estimate,4.711306722583864,4.414582779570715,5.004672524773394,1.327782549808373,28.182893366793273
Threshold_0.50,equal_month,2,q = 2: Inverse Simpson,beta,Beta,1.764989150911077,1.764989150911077,1.764989150911077,23,Threshold >= 0.50,Deterministic,Point estimate,1.7333042293693333,1.7104691757222477,1.7610049975805646,0.03168492154174407,1.8280069363975748
Threshold_0.50,equal_month,2,q = 2: Inverse Simpson,gamma,Gamma,10.658927047155773,10.658927047155773,10.658927047155773,23,Threshold >= 0.50,Deterministic,Point estimate,8.173918140714456,7.652672076004251,8.709989254362242,2.485008906441315,30.401685748031102
Threshold_0.70,equal_month,0,q = 0: Richness,alpha,Alpha,40.78260869565217,40.78260869565217,40.78260869565217,23,Threshold >= 0.70,Deterministic,Point estimate,49.130434782608695,45.17391304347826,53.565217391304344,-8.347826086956523,-16.991150442477874
Threshold_0.70,equal_month,0,q = 0: Richness,beta,Beta,3.628997867803838,3.628997867803838,3.628997867803838,23,Threshold >= 0.70,Deterministic,Point estimate,3.2185688753317576,3.007559591905509,3.4208988009161088,0.41042899247208053,12.751909571292774
Threshold_0.70,equal_month,0,q = 0: Richness,gamma,Gamma,148,148,148,23,Threshold >= 0.70,Deterministic,Point estimate,158,146,171,-10,-6.329113924050633
Threshold_0.70,equal_month,1,q = 1: Exponential Shannon,alpha,Alpha,8.030046100999298,8.030046100999298,8.030046100999298,23,Threshold >= 0.70,Deterministic,Point estimate,8.795475448530865,8.089267838051015,9.46152788985623,-0.7654293475315672,-8.70253520700145
Threshold_0.70,equal_month,1,q = 1: Exponential Shannon,beta,Beta,1.778825557276831,1.778825557276831,1.778825557276831,23,Threshold >= 0.70,Deterministic,Point estimate,1.6834620768367494,1.6657846292562202,1.7028213091096434,0.09536348044008158,5.6647240084713335
