method,method_label,q,q_label,component,component_label,all_estimate,all_reference,all_percentage_difference,high_estimate,high_reference,high_percentage_difference,absolute_percentage_difference_change_points,direction_stable
Naive,Naive: all candidates,0,q = 0: Richness,alpha,Alpha,79.08695652173913,49.130434782608695,60.973451327433615,96.92857142857142,59.92857142857142,61.74016686531585,0.7667155378822343,TRUE
Naive,Naive: all candidates,0,q = 0: Richness,beta,Beta,2.8955470038482685,3.2185688753317576,-10.036195712922048,2.3109801031687547,2.538105049777618,-8.948603078062634,1.0875926348594138,TRUE
Naive,Naive: all candidates,0,q = 0: Richness,gamma,Gamma,229,158,44.93670886075949,224,152,47.36842105263157,2.43171219187208,TRUE
Naive,Naive: all candidates,1,q = 1: Exponential Shannon,alpha,Alpha,14.17018038339599,8.795475448530865,61.107611138439125,12.735596362612474,7.983176472755789,59.53043761559429,1.5771735228448378,TRUE
Naive,Naive: all candidates,1,q = 1: Exponential Shannon,beta,Beta,1.7270037175376347,1.6834620768367494,2.5864343070145512,1.522772724433286,1.5161126495950117,0.43928627863196734,2.147148028382584,TRUE
Naive,Naive: all candidates,1,q = 1: Exponential Shannon,gamma,Gamma,24.471954200303745,14.804727208050329,65.2982446511861,19.393418770378045,12.100075890405058,60.27518294952476,5.023061701661334,TRUE
Naive,Naive: all candidates,2,q = 2: Inverse Simpson,alpha,Alpha,6.5891364077847605,4.711306722583864,39.85793742104357,5.682358707716907,4.180177284055988,35.93583050629292,3.9221069147506498,TRUE
Naive,Naive: all candidates,2,q = 2: Inverse Simpson,beta,Beta,1.7678797328613176,1.7333042293693333,1.9947740798258229,1.591713655330816,1.5839922953907202,0.4874619632029953,1.5073121166228276,TRUE
Naive,Naive: all candidates,2,q = 2: Inverse Simpson,gamma,Gamma,11.648800712381304,8.173918140714456,42.511834738818656,9.04468794956097,6.624578408637255,36.532280118661284,5.97955462015738,TRUE
Hard_top1,Hard top-1,0,q = 0: Richness,alpha,Alpha,77.78260869565217,49.130434782608695,58.31858407079646,95.28571428571428,59.92857142857142,58.99880810488678,0.6802240340903154,TRUE
Hard_top1,Hard top-1,0,q = 0: Richness,beta,Beta,2.9055338177752934,3.2185688753317576,-9.725908305261845,2.3088455772113945,2.538105049777618,-9.03270227472699,0.6932060305348529,TRUE
Hard_top1,Hard top-1,0,q = 0: Richness,gamma,Gamma,226,158,43.03797468354431,220,152,44.736842105263165,1.6988674217188515,TRUE
Hard_top1,Hard top-1,1,q = 1: Exponential Shannon,alpha,Alpha,13.681239223543969,8.795475448530865,55.548603410963835,12.274720944176718,7.983176472755789,53.75735443237033,1.791248978593508,TRUE
