scenario,scenario_label,weighting,q,q_label,component,component_label,mean,sd,median,lower_95,upper_95
Primary_M3,Primary M3: species-aware,abundance_weighted,0,q = 0: Richness,alpha,Alpha,65.0455894654061,2.785395313065823,64.89273575716882,59.6376542253594,70.82358656683046
Primary_M3,Primary M3: species-aware,abundance_weighted,0,q = 0: Richness,beta,Beta,2.4353783495127654,0.0760407736873192,2.4348466587053883,2.291351902223518,2.5900440640066766
Primary_M3,Primary M3: species-aware,abundance_weighted,0,q = 0: Richness,gamma,Gamma,158.322,6.494497247246664,158,146,171
Primary_M3,Primary M3: species-aware,abundance_weighted,1,q = 1: Exponential Shannon,alpha,Alpha,8.351733306054582,0.31498215258620965,8.357963561553692,7.7319852070856205,8.94231429926769
Primary_M3,Primary M3: species-aware,abundance_weighted,1,q = 1: Exponential Shannon,beta,Beta,1.5059265774950323,0.00563811221457958,1.5059491845289892,1.4944891137745024,1.5168333280687012
Primary_M3,Primary M3: species-aware,abundance_weighted,1,q = 1: Exponential Shannon,gamma,Gamma,12.577494701726488,0.4868682938606092,12.585331787444549,11.62457588208043,13.482007726076656
Primary_M3,Primary M3: species-aware,abundance_weighted,2,q = 2: Inverse Simpson,alpha,Alpha,4.527549106461581,0.12722442327838812,4.528490793776457,4.282074521169717,4.768500657875413
Primary_M3,Primary M3: species-aware,abundance_weighted,2,q = 2: Inverse Simpson,beta,Beta,1.611632858461559,0.01549892412678046,1.6121360412475216,1.578859179893109,1.641193723650042
Primary_M3,Primary M3: species-aware,abundance_weighted,2,q = 2: Inverse Simpson,gamma,Gamma,7.296772349529923,0.2173243698272626,7.300994171657835,6.8795350580402905,7.700285821034171
Primary_M2,Primary M2: pooled,abundance_weighted,0,q = 0: Richness,alpha,Alpha,78.38217697192057,1.3736538919223693,78.3714617646195,75.63563835099491,81.1325886549362
Primary_M2,Primary M2: pooled,abundance_weighted,0,q = 0: Richness,beta,Beta,2.465904064915021,0.05114119009058629,2.465024144642858,2.3643914276666855,2.5603064085724543
Primary_M2,Primary M2: pooled,abundance_weighted,0,q = 0: Richness,gamma,Gamma,193.263,4.458891421947019,193,185,202
Primary_M2,Primary M2: pooled,abundance_weighted,1,q = 1: Exponential Shannon,alpha,Alpha,10.420526013072877,0.13305822763344027,10.418835552807115,10.16198907405203,10.684872970063353
Primary_M2,Primary M2: pooled,abundance_weighted,1,q = 1: Exponential Shannon,beta,Beta,1.5518327242365089,0.00398539312660988,1.5518389467658993,1.5440289693540097,1.5595354158627122
Primary_M2,Primary M2: pooled,abundance_weighted,1,q = 1: Exponential Shannon,gamma,Gamma,16.17081491051186,0.20293022796207735,16.16913746456752,15.777352622560764,16.565425379076714
Primary_M2,Primary M2: pooled,abundance_weighted,2,q = 2: Inverse Simpson,alpha,Alpha,5.104496184133347,0.05007278928970549,5.105436884511388,5.006688179032166,5.2019594244726575
Primary_M2,Primary M2: pooled,abundance_weighted,2,q = 2: Inverse Simpson,beta,Beta,1.6303447091709815,0.0044417776468832,1.6303022927680166,1.6215563327798157,1.6396647816331158
Primary_M2,Primary M2: pooled,abundance_weighted,2,q = 2: Inverse Simpson,gamma,Gamma,8.322078550733593,0.08375135118714097,8.32341312723046,8.161474216201183,8.490201864866988
Audio_only,Audio-only sensitivity,abundance_weighted,0,q = 0: Richness,alpha,Alpha,71.58779514251495,2.37182618081077,71.55993715957052,66.7307001755301,76.38222045263423
Audio_only,Audio-only sensitivity,abundance_weighted,0,q = 0: Richness,beta,Beta,2.3953110774103377,0.06633184158334239,2.3946016841437263,2.2664867685996524,2.52734878645627
Audio_only,Audio-only sensitivity,abundance_weighted,0,q = 0: Richness,gamma,Gamma,171.415,5.837709641105308,172,160,183
Audio_only,Audio-only sensitivity,abundance_weighted,1,q = 1: Exponential Shannon,alpha,Alpha,8.930704176318047,0.3031009595618971,8.930933446040026,8.351645401691007,9.541296828154207
Audio_only,Audio-only sensitivity,abundance_weighted,1,q = 1: Exponential Shannon,beta,Beta,1.5146861579290678,0.00529782979378555,1.5144329088372062,1.5054185426962603,1.526086882897825
Audio_only,Audio-only sensitivity,abundance_weighted,1,q = 1: Exponential Shannon,gamma,Gamma,13.527546175017646,0.47117363624962344,13.523063661911486,12.614363319277704,14.472322454902482
Audio_only,Audio-only sensitivity,abundance_weighted,2,q = 2: Inverse Simpson,alpha,Alpha,4.698866939811639,0.1262765419902758,4.6938896021374115,4.457832679707558,4.956985587220709
Audio_only,Audio-only sensitivity,abundance_weighted,2,q = 2: Inverse Simpson,beta,Beta,1.6106356801599808,0.01455156566163474,1.6107579288613043,1.58316720125899,1.641494901150384
Audio_only,Audio-only sensitivity,abundance_weighted,2,q = 2: Inverse Simpson,gamma,Gamma,7.568176381522986,0.2149831692510992,7.557649244863903,7.155982375306509,8.016423017009505
